,Unnamed: 0,FACILITY_CODE,SOURCE,STATE,FACILITY,CITY,LATITUDE,LONGITUDE,FLOW_2012_MGD,2012_TOT_ANNUAL_MM3,CWNS_NUM,NPDES_ID,ww_sic_code
10055,12464,PA03135,CWNS2012,PA,GARRETT BORO STP,0,39.8679,-79.0653,0.07,0.09678347,42003033001,PA0098132,REVIEW
10092,12501,PA03505,CWNS2012,PA,CASSVILLE STP,0,40.3007,-78.0283,0.02,0.02765242,42003102001,PA0087955,REVIEW
10143,12558,PA04075,CWNS2012,PA,ST FRANCIS COLLEGE - LORETTO STP,0,40.5189,-78.6338,0.06,0.08295726,42004002001,PA0218367,REVIEW
10256,12676,PA05255,CWNS2012,PA,WEST ALIQUIPPA STP,0,40.6203,-80.2431,2,2.765242005,42005011001,PA0025968,REVIEW
10339,12766,PA06155,CWNS2012,PA,SEWARD ST. CLAIR STP (SUGAR RUN),0,40.3929,-79.0242,0.28,0.387133881,42005189001,PA0217654,REVIEW
10362,12789,PA06385,CWNS2012,PA,MASONTOWN MUN AUTH (CATTS RUN),0,39.8515,-79.9273,0.19,0.26269799,42005247002,PA0023892,REVIEW
10407,12839,PA06885,CWNS2012,PA,BROOKVILLE STP,0,41.1695,-79.0734,0.65,0.898703652,42006008001,PA0020141,REVIEW
10561,13002,PA08515,CWNS2012,PA,INDIANA CO MSA - HEILWOOD STP,0,40.6784,-79.1889,0.03,0.04147863,42007563006,PA0218634,REVIEW
10563,13004,PA08535,CWNS2012,PA,INDIANA CO MSA - CREEKSIDE STP,0,40.6784,-79.1889,0.04,0.05530484,42007564002,PA0218162,REVIEW
10577,13019,PA08685,CWNS2012,PA,WEST ST CLAIR-PLEASANTVILLE STP,0,40.1606,-78.5936,0.01,0.01382621,42007587001,PA0088960,REVIEW
10985,13459,TN00175,CWNS2012,TN,Blaine Wastewater System,Blaine,36.1596,-83.8262,0.1,0.1382621,47000142001,TN0074080,REVIEW
11088,13569,TN01285,CWNS2012,TN,LOBELVILLE STP,Lobelville,35.7501,-87.7667,0.14,0.19356694,47000825001,TN0020818,REVIEW
11294,13809,TX01035,CWNS2012,TX,Rancho Viejo WWTP,CAMERON COUNTY,26.0428,-97.5556,0.19,0.26269799,48001166001,TX0117731,REVIEW
11325,13843,TX01375,CWNS2012,TX,Oakwilde WWTP,0,29.8819,-95.3435,0.299,0.41340368,48001288006,TX0021253,REVIEW
11422,13976,TX02685,CWNS2012,TX,Par Village WWTP,0,31.9362,-98.5052,0.008,0.011060968,48003167001,TX0122203,REVIEW
11654,14223,TX05145,CWNS2012,TX,Leon Creek WWTP,0,29.2768,-98.5144,36.42,50.35505691,48008015003,TX0052639,REVIEW
11776,14362,TX06350,ICIS2022,TX,CITY OF DALLAS ELM FORK WTP,CARROLLTON,32.972222,-96.916388,5,6.913105013,0,TX0002372,REVIEW
11785,14371,TX06405,ICIS2022,TX,CITY OF ENNIS SURFACE WTF,ENNIS,32.273611,-96.645555,0.25,0.3456552506249999,0,TX0125563,REVIEW
11943,14529,TX07400,ICIS2022,TX,HARRIS CNTY FWSD 6 WWTP,CHANNELVIEW,29.766944,-95.105833,0.4,0.553048401,48007085001,TX0027111,REVIEW
11995,14581,TX07670,ICIS2022,TX,HOMER N TANNER JR REGIONAL WTP,AVINGER,32.863611,94.662222,0,0,0,TX0134490,REVIEW
12185,14787,UT00245,CWNS2012,UT,MANTI,MANTI,39.2683,-111.6361,0.45,0.6221794511250001,49000043001,UT0026026,REVIEW
12203,14824,UT00615,CWNS2012,UT,PRICE RIVER WID,PRICE,39.5962,-110.8329,1.8,2.488717805,49000132001,UT0021814,REVIEW
12219,14872,UT01095,CWNS2012,UT,JORDANELLE SSD,HEBER CITY,40.6342,-111.4369,0.14,0.19356694,49000337001,UT0022403,REVIEW
13321,16168,WV00655,CWNS2012,WV,MNTN TOP PSD - BAYARD WWTP,MT STORM,39.2745,-79.3626,0.05,0.06913105,54001207001,WV0101524,REVIEW
13322,16169,WV00665,CWNS2012,WV,MNTN TOP PSD - GORMANIA WWTP,MT STORM,39.2745,-79.3626,0.01,0.01382621,54001207002,WV0101524,REVIEW
13326,16173,WV00705,CWNS2012,WV,WHITE SULPHUR SPRINGS WWTP,WHITE SULPHUR SPRINGS,37.7931,-80.3015,1.6,2.212193604,54001310001,WV0084000,REVIEW
13403,16255,WV01525,CWNS2012,WV,BLUEWELL PSD WWTP,BLUEFIELD,37.3019,-81.2517,0.4,0.553048401,54002704001,WVG640100,REVIEW
13409,16261,WV01585,CWNS2012,WV,MNTN TOP PSD - ELK GARDEN WWTP,MT STORM,39.2745,-79.3626,0.05,0.06913105,54002801001,WV0101524,REVIEW
13444,16299,WV01965,CWNS2012,WV,KINGWOOD WWTP,KINGWOOD,39.4468,-79.6781,0.57,0.7880939714249999,54003903001,WV0021881,REVIEW
