,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),check_sewer_permits
138,TRINITY INDUSTRIES PLANT 19 WWTF,TX0111465,DALKS,TX,6,2022,2022-09-16T13:38:07.335-0500,Other,0.159,0,,Other Management Practice,,,,0.159,Not Applicable,other_system
146,WESTERN PINES MHP WWTF,TX0082830,SUGAR LAND,TX,6,2022,2022-09-13T15:24:08.745-0500,Other,17.9,0,,Other Management Practice,,,,17.9,Not Applicable,other_system
149,COWTOWN RV PARK WWTF,TX0117919,ALEDO,TX,6,2022,2022-09-20T13:55:20.537-0500,Other,3.82,0,,Other Management Practice,,,,3.82,Class A,other_system
161,PARADISE ISD WWTP,TX0103446,PARADISE,TX,6,2022,2022-09-08T08:17:23.593-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,80.0,0,,Other Management Practice,,,,80.0,Not Applicable,other_system
173,CORNERSTONE MHP WWTP,TX0129381,TOMBALL,TX,6,2022,2022-09-13T15:35:56.747-0500,Other,1.51,0,,Other Management Practice,,,,1.51,Not Applicable,other_system
181,JESUS AWAKENING MOVEMENT FOR AMERICA WWTP,TX0134937,LINDALE,TX,6,2022,2022-09-08T09:34:32.712-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Class A,other_system
182,OAK HAVEN RECOVERY CENTER WWTP,TX0068004,LONGVIEW,TX,6,2022,2022-08-31T15:35:30.132-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
184,SUN ACRES MHP WWTF,TX0117242,KILGORE,TX,6,2022,2022-09-16T10:40:13.914-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.34,0,,Other Management Practice,,,,0.16,Not Applicable,other_system
188,BIRKHEAD WELL WWTP,TX0119351,ROCKDALE,TX,6,2022,2022-09-01T10:00:53.274-0500,Other,0.0,0,,Other Management Practice,,,,,Class B,other_system
190,MILANO WELL WWTP,TX0126497,ROCKDALE,TX,6,2022,2022-09-01T10:04:48.151-0500,Other,0.0,0,,Other Management Practice,,,,,Class B,other_system
191,ANTHIS WELL WTP,TX0126730,ROCKDALE,TX,6,2022,2022-09-01T10:07:39.716-0500,Other,0.0,0,,Other Management Practice,,,,,Class B,other_system
192,BLUE IRON REMOVAL PLANT WTP,TX0132764,BASTROP,TX,6,2022,2022-09-01T10:34:47.209-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
193,MCDADE IRON REMOVAL WTP,TX0127132,BASTROP,TX,6,2022,2022-09-01T10:37:59.337-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
194,C IRON REMOVAL WTP,TX0119954,BASTROP,TX,6,2022,2022-09-01T10:39:24.099-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
196,CAMP SWIFT IRON REMOVAL WTP,TX0119946,BASTROP,TX,6,2022,2022-09-01T10:41:25.590-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
209,UNION HILL ISD WWTP,TX0118451,GILMER,TX,6,2022,2022-09-16T09:11:51.532-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
216,SHELBYVILLE ISD WWTF,TX0102261,SHELBYVILLE,TX,6,2022,2022-09-02T11:51:21.350-0500,Other,0.68,0,,Other Management Practice,,,,0.68,Class B,other_system
219,METHODIST HOME BOY'S RANCH,TX0126217,WACO,TX,6,2022,2022-09-02T12:06:31.801-0500,Other,14.4,0,,Other Management Practice,,,,14.4,Not Applicable,other_system
221,BRAZOS ISD WWTP,TX0068713,WALLIS,TX,6,2022,2022-09-02T13:38:08.227-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
222,CAYUGA ISD ,TX0111520,CAYUGA,TX,6,2022,2022-09-08T10:52:43.087-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
223,SLIDELL ISD WWTP,TX0124494,SLIDELL,TX,6,2022,2022-09-02T13:50:33.940-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
229,CITY OF ARCHER CITY WTP,TX0127019,ARCHER CITY,TX,6,2022,2022-09-04T09:53:56.099-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
230,TPWD LAKE LIVINGSTON STATE PARK,TX0062961,AUSTIN,TX,6,2022,2022-09-04T11:40:38.428-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
234,TIDEHAVEN JHS-HS WWTP,TX0136280,EL MATON,TX,6,2022,2022-09-04T20:11:48.841-0500,Other,0.281,0,,Other Management Practice,,,,0.281,Not Applicable,other_system
239,STONETOWN BENBROOK WWTP,TX0093092,GLENDALE,CO,6,2022,2022-09-06T15:22:45.050-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,15.06,0,,Other Management Practice,,,,15.06,Class B,other_system
240,WODEN ISD WWTP,TX0134449,WODEN,TX,6,2022,2022-09-06T09:38:34.025-0500,Other,1.0425,0,,Other Management Practice,,,,1.0425,Not Applicable,other_system
261,RIVERCREST ISD WWTF,TX0116556,BOGATA,TX,6,2022,2022-09-06T14:25:56.694-0500,Other,0.681,0,,Other Management Practice,,,,0.681,Not Applicable,other_system
265,THE ESTATES WWTP,TX0135020,OAK BROOK,IL,6,2022,2022-09-06T16:56:33.876-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,2.27,0,,Other Management Practice,,,,2.27,Class B,other_system
274,COLLIN COUNTY ADVENTURE CAMP WWTF,TX0126241,IRVING,TX,6,2022,2022-09-07T10:08:14.825-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
279,PETRO STOPPING CENTER 340,TX0129348,WESTLAKE,OH,6,2022,2022-10-07T08:29:17.535-0500,Other,12.76,0,,Other Management Practice,,,,43.0,Not Applicable,other_system
292,CITY OF THREE RIVERS WWTP,TX0137235,THREE RIVERS,TX,6,2022,2022-09-07T16:00:36.294-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,49.54,0,,Land Application,49.54,,,,Class B,other_system
301,EASTLAND COUNTY WSD WTP,TX0113883,RANGER,TX,6,2022,2022-09-09T12:33:19.569-0500,Other,114.84,0,,Other Management Practice,,,,114.84,Not Applicable,other_system
343,BOVAY SCOUT RANCH WWTP,TX0119083,HOUSTON,TX,6,2022,2022-09-09T11:41:51.080-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
344,ROCKY POINT ESTATES MHP WWTP,TX0123552,GLENDALE,CO,6,2022,2022-09-09T11:44:02.927-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,11.86,0,,Other Management Practice,,,,11.86,Class A,other_system
354,LAKE TAWAKONI STATE PARK WWTF,TX0129780,POINT,TX,6,2022,2022-09-12T09:05:10.685-0500,Other,1.39,0,,Other Management Practice,,,,1.39,Not Applicable,other_system
356,NURSERY PRODUCTS HAWES COMPOSTING FACILITY,CAL010500,HELENDALE,CA,9,2022,2023-02-20T14:17:00.488-0500,Other,124978.0,0,,Land Application,124978.0,,,,Class A EQ,other_system
359,BISHOP CISD WWTP,TX0069884,BISHOP,TX,6,2022,2022-09-10T12:33:11.988-0500,Other,0.0,0,,Other Management Practice,,,,,Class B,other_system
362,HIGH ISLAND ISD WWTF,TX0134945,HIGH ISLAND,TX,6,2022,2022-09-20T15:33:43.500-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
394,CAMP MAXEY WWTF,TX0101214,AUSTIN,TX,6,2022,2022-09-27T10:26:07.920-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
410,GROESBECK WTP,TX0117587,GROESBECK,TX,6,2022,2022-09-20T08:52:44.063-0500,Other,52.15,0,,Other Management Practice,,,,52.15,Not Applicable,other_system
420,DRIL-QUIP WWTP,TX0128287,HOUSTON,TX,6,2022,2022-09-13T15:34:39.485-0500,Other,1.51,0,,Other Management Practice,,,,1.51,Not Applicable,other_system
423,CAMP JOHN MARC WWTF,TX0106224,DALLAS,TX,6,2022,2022-09-13T14:59:45.821-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
424,WOLF CREEK PARK WWTP,TX0024775,LIVINGSTON,TX,6,2022,2022-09-15T14:19:43.662-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
425,LEVERETT'S CHAPEL ISD WWTP,TX0030686,LAIRD HILL,TX,6,2022,2022-09-13T16:02:59.871-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
441,VALLOUREC STAR,TX0088455,CHANNELVIEW,TX,6,2022,2022-09-29T12:43:52.102-0500,Other,0.95,0,,Other Management Practice,,,,0.95,Not Applicable,other_system
451,SHELDON INSPECTION SOUTH WWTP,TX0130036,HOUSTON,TX,6,2022,2022-09-15T14:31:52.501-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
462,TEASELVILLE WELL 1 WWTF,TX0118273,TYLER,TX,6,2022,2022-09-16T09:37:17.730-0500,"A POTW that serves 10,000 people or more",0.0,0,,Other Management Practice,,,,,Class B,other_system
474,UNION GROVE ISD WWTP,TX0102997,GLADEWATER,TX,6,2022,2022-09-16T08:23:06.493-0500,Other,1.1,0,,Other Management Practice,,,,1.1,Not Applicable,other_system
484,TUBOSCOPE SHELDON ROAD NORTH WWTP,TX0087491,HOUSTON,TX,6,2022,2022-09-15T14:30:05.975-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.106,0,,Other Management Practice,,,,0.106,Class B,other_system
492,SHADY OAKS WWTP,TX0132039,RICHMOND,VA,6,2022,2022-09-28T11:50:33.804-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,14.0,0,,Surface Disposal,,14.0,,,Class A,other_system
498,HOLY TRINITY EPISCOPAL SCHOOL WWTP,TX0125326,HOUSTON,TX,6,2022,2022-09-15T15:48:29.197-0500,Other,0.0,0,,Other Management Practice,,,,,Class B,other_system
504,DALLAS COUNTY PARK CITIES MUD WWTP,TX0128686,DALLAS,TX,6,2022,2022-09-21T14:08:11.828-0500,Other,1686.0,0,,Other Management Practice,,,,5761.0,Not Applicable,other_system
505,GONZALES COUNTY WSC 794 WELL SITE,TX0138215,GONZALES,TX,6,2022,2022-09-16T09:27:17.981-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
506,GONZALES COUNTY WSC BEBE WELL SITE,TX0138223,GONZALES,TX,6,2022,2022-10-11T13:33:26.231-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
509,FOREST HILLS WWTP,TX0031283,JASPER,TX,6,2022,2022-09-16T08:51:51.681-0500,Other,1.8,0,,Other Management Practice,,,,1.8,Class B,other_system
510,KNOX LEE POWER PLANT,TX0000540,LONGVIEW,TX,6,2022,2022-09-20T13:16:04.374-0500,Other,0.75,0,,Other Management Practice,,,,0.75,Not Applicable,other_system
511,HENRY W. PIRKEY POWER PLANT,TX0087726,DALLAS,TX,6,2022,2022-09-16T10:20:26.745-0500,Other,2.25,0,,Other Management Practice,,,,2.25,Not Applicable,other_system
516,NATIONAL COIL WWTF,TX0117820,LONGVIEW,TX,6,2022,2022-09-19T10:58:57.189-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.32,0,,Other Management Practice,,,,0.32,Not Applicable,other_system
529,CARLISLE ISD WWTP,TX0124371,PRICE,TX,6,2022,2022-10-11T16:00:53.519-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
538,IS ZEN CENTER WWTF,TX0126306,MAGNOLIA,TX,6,2022,2022-09-18T06:10:07.339-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
539,BROOKELAND ISD WWTP,TX0099082,BROOKLAND,TX,6,2022,2022-09-19T07:52:44.969-0500,Other,0.7,0,,Other Management Practice,,,,0.7,Class B,other_system
543,DALE PUMP STATION,TX0117170,LOCKHART,TX,6,2022,2022-09-19T09:10:39.443-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
544,BROWNSBORO WTP,TX0117188,LOCKHART,TX,6,2022,2022-09-19T09:14:32.270-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
545,DALE WELL 2A WTF,TX0134481,LOCKHART,TX,6,2022,2022-09-19T09:16:21.947-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
550,LIVE OAK COUNTY SAFETY REST AREA NORTHBOND WWTF,TX0129305,AUSTIN,TX,6,2022,2022-09-19T10:28:31.068-0500,Other,2.0,0,,Other Management Practice,,,,2.0,Not Applicable,other_system
554,LIVE OAK COUNTY SAFETY REST AREA WWTF,TX0129321,AUSTIN,TX,6,2022,2022-09-19T12:02:20.433-0500,Other,2.0,0,,Other Management Practice,,,,2.0,Not Applicable,other_system
561,CAMP SUMMIT,TX0122386,DALLAS,TX,6,2022,2022-09-19T15:49:03.499-0500,Other,0.24,0,,Other Management Practice,,,,0.24,Not Applicable,other_system
572,COUNTRY LIVING MHP WWTP,TX0100188,MARSHALL,TX,6,2022,2022-09-20T23:35:30.109-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.26,0,,Other Management Practice,,,,0.26,Not Applicable,other_system
578,BCFS DRISCOLL HEALTH & HUMAN SERVICES WWTP,TX0140562,HARLINGEN,TX,6,2022,2022-09-19T15:22:48.537-0500,Other,0.25,0,,Other Management Practice,,,,0.205,Class B,other_system
581,COASTAL BEND DETENTION FACILITY WWTF,TX0129607,SAN ANTONIO,TX,6,2022,2022-09-19T15:25:19.943-0500,Other,5.24,0,,Other Management Practice,,,,5.24,Class B,other_system
584,LILLIAN ELEMENTARY SCHOOL WWTF,TX0119229,ALVARADO,TX,6,2022,2022-09-19T15:59:41.858-0500,Other,2.0,0,,Other Management Practice,,,,2.0,Not Applicable,other_system
587,HIGHLANDS OF SALADO WWTP,TX0125610,SALADO,TX,6,2022,2022-09-19T16:19:31.535-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
588,KOPPERL ISD WWTP,TX0116661,KOPPERL,TX,6,2022,2022-09-19T16:20:12.414-0500,Other,1.6,0,,Other Management Practice,,,,1.6,Not Applicable,other_system
590,LAKEVIEW CAMP WWTP,TX0118877,WAXAHACHIE,TX,6,2022,2022-09-19T16:34:51.979-0500,Other,4.3,0,,Other Management Practice,,,,4.258,Not Applicable,other_system
591,LOUIS VUITTON RANCHO 54,TX0138061,SAN DIMAS,CA,6,2022,2022-09-19T16:44:50.705-0500,Other,1.14,0,,Other Management Practice,,,,1.14,Not Applicable,other_system
597,UFP-NEW WAVERLY WWTP,TX0028169,GRAND RAPIDS,MI,6,2022,2022-09-28T09:05:32.902-0500,Other,0.49,0,,Land Application,0.49,,,,Class B,other_system
610,CITY OF GOLDTHWAITE WTP,TX0126667,GOLDTHWAITE,TX,6,2022,2022-09-20T10:19:27.313-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
630,CONVENIENCE RV PARK WWTP,TX0118281,WILLIS,TX,6,2022,2022-09-20T12:37:20.372-0500,Other,1.13183941,0,,Other Management Practice,,,,1.13183941,Not Applicable,other_system
650,DECATUR WTP,TX0136204,DECATUR,TX,6,2022,2022-09-21T13:28:18.651-0500,Other,2.2,0,,Other Management Practice,,,,2.21,Not Applicable,other_system
653,CANUTILLO MIDDLE SCHOOL WWTP,TX0137146,CANUTILLO,TX,6,2022,2022-09-20T16:59:36.773-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
689,SCRAP YARD SPORTS WWTP,TX0135356,CONROE,TX,6,2022,2022-09-21T10:36:33.197-0500,Other,2.27,0,,Other Management Practice,,,,2.27,Not Applicable,other_system
709,HIGH POINT ELEMENTARY WWTF,TX0128333,NAVASOTA,TX,6,2022,2022-10-28T11:25:05.728-0500,Other,0.26,0,,Other Management Practice,,,,0.26,Not Applicable,other_system
726,RED WARE ELEMENTARY WWTP,TX0102555,CALLISBURG,TX,6,2022,2022-09-22T08:47:45.328-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
735,CITY OF ROCKSPRINGS WWTP,TX0138258,ROCK SPRINGS,TX,6,2022,2022-09-22T10:23:50.689-0500,Other,15.22,0,,Surface Disposal,,15.22,,,Class B,other_system
736,MCDONALD OBSERVATORY LOWER WWTF,TX0076422,AUSTIN,TX,6,2022,2022-09-27T14:00:57.925-0500,Other,0.962,0,,Other Management Practice,,,,0.962,Not Applicable,other_system
744,CEDRIC SMITH ELEMENTARY SCHOOL WWTP,TX0119598,MAGNOLIA,TX,6,2022,2022-10-03T14:03:39.394-0500,Other,5.29,0,,Other Management Practice,,,,5.29,Class B,other_system
750,PORT ISABEL DETENTION CTR WWTF,TX0056821,LOS FRESNOS,TX,6,2022,2022-09-22T13:39:02.698-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,30.0,0,,Other Management Practice,,,,30.0,Class B,other_system
753,SUGAR PINES  MHC WWTF,TX0117277,PASADENA,CA,6,2022,2022-09-22T14:03:26.769-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,26.07,0,,Other Management Practice,,,,26.07,Not Applicable,other_system
754,WILLOW MANOR MHP WWTP,TX0118001,COST MESA,CA,6,2022,2022-09-26T11:29:13.183-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,3.02,0,,Other Management Practice,,,,3.02,Not Applicable,other_system
770,US RV PARK WWTP,TX0132225,HOUSTON,TX,6,2022,2022-09-26T11:32:52.038-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,2.27,0,,Other Management Practice,,,,2.27,Not Applicable,other_system
791,HALLIBURTON GALVESTON PELICAN ISLAND WWTP,TX0119482,HOUSTON,TX,6,2022,2022-09-28T16:15:03.285-0500,Other,0.1,0,,Other Management Practice,,,,0.1,Class B,other_system
798,ATASCOCITA VILLAGE MHP WWTP,TX0020320,HUMBLE,TX,6,2022,2022-09-23T09:21:18.094-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,12.85,0,,Other Management Practice,,,,12.85,Class B,other_system
808,GE HYDRIL WWTP,TX0071251,HOUSTON,TX,6,2022,2022-09-23T10:25:07.682-0500,Other,30.26,0,,Other Management Practice,,,,30.26,Not Applicable,other_system
809,HARRIS COUNTY ID 18 WWTP,TX0132471,HOUSTON,TX,6,2022,2022-09-23T10:55:54.074-0500,Other,19.6005059,0,,Land Application,19.6005059,,,,Class B,other_system
820,DYNAMIC PRODUCTS WWTP,TX0072524,HOUSTON,TX,6,2022,2022-09-23T13:26:55.430-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Class B,other_system
825,SKY RANCHES WETLANDS WWTP,TX0124681,VAN,TX,6,2022,2022-09-26T13:04:47.515-0500,Other,20.2,0,,Other Management Practice,,,,19.8,Not Applicable,other_system
834,COLLIN PARK MARINA WWTP,TX0057959,WYLIE,TX,6,2022,2022-09-24T10:25:53.359-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
835,STEPHEN F AUSTIN HISTORICAL PARK ,TX0032549,AUSTIN,TX,6,2022,2022-09-30T10:23:09.182-0500,Other,1.47631227,0,,Land Application,1.47631227,,,,Class B,other_system
836,CAMP FOR ALL FOUNDATION WWTP,TX0114413,HOUSTON,TX,6,2022,2022-09-25T09:45:06.997-0500,Other,1.476,0,,Other Management Practice,,,,1.476,Class B,other_system
837,RAMBLEWOOD MHP WWTP,TX0033197,CEDAREDGE,CO,6,2022,2022-09-25T13:01:07.891-0500,Other,1.033,0,,Other Management Practice,,,,1.033,Class B,other_system
838,RIVERSIDE WWTF,TX0071145,COLLEGE STATION,TX,6,2022,2022-09-25T13:18:41.824-0500,Other,2.908,0,,Other Management Practice,,,,2.908,Class B,other_system
842,GLEN OAKS MHP WWTF,TX0085456,ORLANDO,FL,6,2022,2022-09-25T14:17:40.930-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
879,SUNSET MHP 2 WWTP,TX0090735,HOUSTON,TX,6,2022,2022-09-26T11:23:12.433-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,1.51,0,,Other Management Practice,,,,1.51,Not Applicable,other_system
881,BEACON ESTATES WWTP,TX0132454,BROOKSHIRE,TX,6,2022,2022-09-27T05:56:56.638-0500,Other,2.27,0,,Other Management Practice,,,,2.27,Class B,other_system
887,KINGMONT MHP WWTP,TX0124257,HOUSTON,TX,6,2022,2022-09-26T11:26:27.911-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,6.05,0,,Other Management Practice,,,,6.05,Not Applicable,other_system
890,STAFFORD MHP WWTP,TX0117358,HOUSTON,TX,6,2022,2022-09-26T11:14:02.689-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,6.8,0,,Other Management Practice,,,,6.8,Not Applicable,other_system
891,TURLOCK WQCF,CAL078948,TURLOCK,CA,9,2022,2023-02-18T21:02:18.796-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,3097.0,0,,"Land Application, Other Management Practice",2228.0,,,869.0,Class B,other_system
894,BLOOMINGTON ISD,TX0127353,BLOOMINGTON,TX,6,2022,2022-09-26T12:18:35.144-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,28.66,0,,Other Management Practice,,,,28.66,Not Applicable,other_system
897,CITY OF RICHMOND SWTP,TX0137600,RICHMOND,TX,6,2022,2022-09-27T14:10:57.840-0500,Other,139.323,0,,Land Application,139.0,,,,Class B,other_system
918,INLINE UTILITIES WWTP,TX0117633,SPRING,TX,6,2022,2022-09-26T15:24:30.606-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,16.63,0,,Other Management Practice,,,,16.63,Class B,other_system
920,HOOKS MOBILE HOME PARK WWTP,TX0078883,HOUSTON,TX,6,2022,2022-09-26T15:30:30.124-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,2.27,0,,Other Management Practice,,,,2.27,Class B,other_system
923,PINEDALE MHP WWTP,TX0094552,PINEHURTS,TX,6,2022,2022-09-26T15:35:55.276-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,3.02,0,,Other Management Practice,,,,3.02,Class B,other_system
927,TIMBERCREST VILLAGE WWTP,TX0119628,VANCOUVE,BC,6,2022,2022-09-26T15:43:31.594-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,30.99,0,,Other Management Practice,,,,30.99,Class B,other_system
934,WESTFIELD MHP WWTP,TX0090492,SAN JOSE,CA,6,2022,2022-09-26T16:04:39.192-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,4.54,0,,Other Management Practice,,,,4.54,Class B,other_system
936,NORTHWEST PINES WWTP,TX0083429,DENVER,CO,6,2022,2022-09-26T16:12:09.903-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,11.31,0,,Other Management Practice,,,,11.31,Class B,other_system
938,BAYOU CLUB WWTP,TX0083933,SPRING,TX,6,2022,2022-09-26T16:14:57.881-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.492,0,,Other Management Practice,,,,0.492,Class B,other_system
939,BRAIRWOOD RETREAT WWTP,TX0091448,ARGYLE,TX,6,2022,2022-09-30T13:53:16.115-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
948,NEEDVILLE ISD WWTP,TX0077470,NEEDVILLE,TX,6,2022,2022-09-30T17:26:26.110-0500,Other,4.54,0,,Other Management Practice,,,,4.54,Class B,other_system
964,VAM USA,TX0129917,HOUSTON,TX,6,2022,2022-09-27T08:38:36.264-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Class B,other_system
