,Unnamed: 0,FACILITY_CODE,SOURCE,STATE,FACILITY,CITY,LATITUDE,LONGITUDE,FLOW_2012_MGD,2012_TOT_ANNUAL_MM3,CWNS_NUM,NPDES_ID
1740,2523,GA03465,ICIS2022,GA,"AUGUSTA, CITY OF (SPIRIT CREEK WPCP)",AUGUSTA,33.313135,-81.943256,0.3406,0.470920713,0,GA0047147
1741,2524,GA03480,ICIS2022,GA,"BLUE RIDGE, CITY OF (BLUE RIDGE WPCP)",BLUE RIDGE,34.883913,-84.305761,0.39,0.539222191,0,GA0037583
1742,2525,GA03485,ICIS2022,GA,BRUNSWICK-GLYNN COUNTY JOINT WATER & SEWER COMMISSION (EXIT 29 WPCP),BRUNSWICK,31.128744,-81.582424,1.5,2.073931504,0,GA0038938
1743,2526,GA03490,ICIS2022,GA,BRUNSWICK-GLYNN COUNTY JWSC (SAINT SIMONS ISLAND WPCP),SAINT SIMONS ISLAND,31.186831,-81.385266,2.9,4.009600907,0,GA0021521
1744,2527,GA03500,ICIS2022,GA,CHEROKEE  COUNTY WATER & SEWERAGE AUTHORITY (RIVERBEND WWTP),BALL GROUND,34.299813,-84.393542,0.0,0.0,0,GA0050242
1745,2528,GA03510,ICIS2022,GA,CHEROKEE COUNTY WATER & SEWERAGE AUTHORITY (FITZGERALD CREEK WPCP),WOODSTOCK,34.099428,-84.447093,4.42,6.111184831,0,GA0038555
1746,2529,GA03515,ICIS2022,GA,CHEROKEE COUNTY WATER & SEWERAGE AUTHORITY (ROSE CREEK WPCP),WOODSTOCK,34.136429,-84.567925,2.7,3.733076707,0,GA0046451
1747,2530,GA03525,ICIS2022,GA,COLUMBUS WATER WORKS (COLUMBUS CSO),COLUMBUS,32.445894,-84.982037,32.3,44.65865838,0,GA0036838
1748,2531,GA03565,ICIS2022,GA,"CUMMING, CITY OF  (BETHELVIEW ROAD WPCP)",CUMMING,34.196355,-84.189286,2.36,3.262985566,0,GA0046019
1749,2532,GA03575,ICIS2022,GA,"DALLAS, CITY OF (PUMPKINVINE CREEK WPCP)",DALLAS,33.960876,-84.835156,0.0,0.0,0,GA0039241
1750,2533,GA03600,ICIS2022,GA,FORSYTH COUNTY DEPARTMENT OF WATER & SEWER (DICK CREEK WRF),SUWANEE,34.087492,-84.154012,0.59,0.815746391,0,GA0038563
1751,2534,GA03605,ICIS2022,GA,FORSYTH COUNTY DEPARTMENT OF WATER AND SEWER (FOWLER & SHAKERAG WRF),SUWANEE,34.058917,-84.114791,6.0,8.295726015,0,GA0038954
1752,2535,GA03610,ICIS2022,GA,FORSYTH COUNTY DEPARTMENT OF WATER AND SEWER (FOWLER WRF),CUMMING,34.153828,-84.213499,5.0,6.913105013,0,GA0038695
1753,2536,GA03615,ICIS2022,GA,FORSYTH COUNTY DEPARTMENT OF WATER AND SEWER (JAMES CREEK WRF),SUWANEE,34.128152,-84.123769,1.26,1.742102463,0,GA0050238
1755,2538,GA03620,ICIS2022,GA,FULTON COUNTY PUBLIC WORKS DEPARTMENT (LITTLE BEAR CREEK WPCP),CHATTAHOOCHEE HILLS,33.558148,-84.699598,0.1,0.1382621,0,GA0047104
1757,2540,GA03625,ICIS2022,GA,GEORGIA DEPARTMENT OF CORRECTIONS (ROGERS STATE PRISON WPCP),REIDSVILLE,32.006412,-82.156504,0.85,1.175227852,0,GA0022900
1758,2541,GA03630,ICIS2022,GA,GWINNETT COUNTY (F WAYNE HILL WATER RESOURCES CENTER),BUFORD,34.05933,-84.016005,0.45,0.622179451,0,GAG960001
1760,2543,GA03635,ICIS2022,GA,GWINNETT COUNTY BOARD OF COMMISSIONERS (F. WAYNE HILL WRC),BUFORD,34.058903,-84.016176,32.77,45.30849025,0,GA0038130
1762,2545,GA03645,ICIS2022,GA,"HAWKINSVILLE, CITY OF (NORTH WPCP)",HAWKINSVILLE,32.306803,-83.471227,0.473,0.653979734,0,GA0046027
1763,2546,GA03650,ICIS2022,GA,HENRY COUNTY WATER AUTHORITY (INDIAN CREEK WRF),MCDONOUGH,33.333103,-84.141011,0.0,0.0,0,GA0050241
2531,3342,GA03660,ICIS2022,GA,"HINESVILLE, CITY OF (PEACOCK CREEK WRF)",HINESVILLE,31.849,-81.637,1.086,1.501526409,0,GA0038792
2532,3343,GA03665,ICIS2022,GA,JACKSON COUNTY WATER & SEWER AUTHORITY (MIDDLE OCONEE WPCP),JEFFERSON,34.096306,-83.603455,0.49,0.677484291,0,GA0002712
2835,3729,GA03680,ICIS2022,GA,JEKYLL ISLAND STATE PARK AUTHORITY (JEKYLL ISLAND WPCP),JEKYLL ISLAND,31.044071,-81.421199,0.335,0.463178036,0,GA0020508
2836,3730,GA03690,ICIS2022,GA,LEE COUNTY UTILITIES AUTHORITY (KINCHAFOONEE CREEK WPCP),LEESBURG,31.633447,-84.181093,0.6,0.829572602,0,GA0026603
3053,3996,GA03700,ICIS2022,GA,"MADISON, CITY OF (INDIAN CREEK WRF)",MADISON,33.54786,-83.491239,1.0,1.382621002,0,GA0038741
3071,4014,GA03725,ICIS2022,GA,PAULDING COUNTY WATER SYSTEM (PUMPKINVINE CREEK WRF),ACWORTH,34.068256,-84.768887,0.604,0.835103086,0,GA0039021
3076,4019,GA03745,ICIS2022,GA,RABUN COUNTY WATER & SEWER AUTHORITY (RABUN COUNTY WRF),RABUN GAP,34.953303,-83.374614,0.183,0.253019643,0,GA0039152
3077,4020,GA03775,ICIS2022,GA,"TYBEE ISLAND, CITY OF (TYBEE ISLAND WPCP)",TYBEE ISLAND,32.024147,-80.852748,1.15,1.590014153,0,GA0020061
3082,4025,IA07845,ICIS2022,IA,HUXLEY CITY OF STP,HUXLEY,41.89964,-93.56833,0.85,1.175227852,0,IA0083518
3083,4026,IA07990,ICIS2022,IA,WASHBURN AREA-STP BLACK HAWK COUNTY,WASHBURN,42.41774,-92.28055,0.1175,0.162457968,0,IA0074241
3084,4027,IL04660,ICIS2022,IL," NAUVOO STP, CITY OF",NAUVOO,40.541667,-91.398333,0.34,0.470091141,0,IL0023531
3091,4034,IL04830,ICIS2022,IL,"BETHANY STP, VILLAGE OF",BETHANY,39.64,-88.733333,0.2,0.276524201,0,IL0023051
3094,4037,IL04870,ICIS2022,IL,"BOLINGBROOK WRF #2, VILLAGE OF",BOLINGBROOK,41.711111,-88.113889,3.0,4.147863008,0,IL0032735
3097,4040,IL04880,ICIS2022,IL,"BRADFORD STP, VILLAGE OF",BRADFORD,40.307389,-90.070111,0.6,0.829572602,0,IL0022195
3135,4078,IL04930,ICIS2022,IL,"BURLINGTON NORTH STP, VILLAGE OF",BURLINGTON,42.061111,-88.536111,0.94,1.299663742,0,IL0078387
3143,4086,IL04940,ICIS2022,IL,"CAMBRIA STP, VILLAGE OF",CAMBRIA,37.781667,-89.13,0.16,0.22121936,0,ILG580045
3150,4093,IL04945,ICIS2022,IL,"CAMBRIDGE STP, VILLAGE OF",CAMBRIDGE,41.302778,-90.216667,0.8,1.106096802,0,IL0061255
3154,4097,IL05000,ICIS2022,IL,CENTRAL ALEXANDER COUNTY SD STP,OLIVE BRANCH,37.173611,-89.371111,0.1375,0.190110388,0,ILG580257
3161,4104,IL05015,ICIS2022,IL,CHATSWORTH STP,CHATSWORTH,40.758333,-88.278333,0.184,0.254402264,0,ILG580091
3168,4111,IL05035,ICIS2022,IL,CHILLICOTHE SD,CHILLICOTHE,40.89724,-89.49557,0.0,0.0,0,ILX0116SC
3176,4119,IL05370,ICIS2022,IL,"FRANKFORT, VILLAGE OF - REGIONAL WWTP",FRANKFORT,41.519167,-87.8575,4.67,6.456840082,0,IL0072192
3177,4120,IL05415,ICIS2022,IL,"GLASFORD STP, VILLAGE OF",GLASFORD,40.565,-89.806667,0.26,0.359481461,0,IL0022527
3179,4122,IL05470,ICIS2022,IL,"HAMEL STP, VILLAGE OF",HAMEL,38.881667,-89.85,0.105,0.145175205,0,ILG580011
3182,4125,IL05500,ICIS2022,IL,HENNEPIN PUBLIC WATER DISTRICT WWTP,HENNEPIN,41.265,-89.343333,0.3,0.414786301,0,IL0025313
3193,4136,IL05555,ICIS2022,IL,HOMER WWTP,HOMER,40.031667,-87.944417,0.147,0.203245287,0,IL0050300
3197,4140,IL05635,ICIS2022,IL,"ITASCA, VILLAGE OF - PROSPECT AVENUE WWTP",ITASCA,41.977,-87.9971,3.2,4.424387208,0,IL0079073
3213,4156,IL05730,ICIS2022,IL,LAKE OF EGYPT SEWER DIST STP,MARION,37.626667,-88.941667,0.225,0.311089726,0,ILG580053
3218,4161,IL05735,ICIS2022,IL,"LAKEWOOD STP, VILLAGE OF",LAKEWOOD,42.226667,-88.401667,2.95,4.078731957,0,IL0045446
3232,4175,IL05755,ICIS2022,IL,LCDPW-DIAMOND-SYLVAN LAKE WRF,MUNDELEIN,42.241667,-88.025,0.34,0.470091141,0,IL0022080
3233,4176,IL05785,ICIS2022,IL,"LOAMI STW, VILLAGE OF",LOAMI,39.666389,-89.843333,0.25,0.345655251,0,ILG580275
3237,4180,IL05915,ICIS2022,IL,"MOUNT STERLING STP, CITY OF",MOUNT STERLING,39.955,-90.763333,0.25,0.345655251,0,ILG580089
3245,4188,IL05975,ICIS2022,IL,"NEW WINDSOR STP, VILLAGE OF ",NEW WINDSOR,41.208333,-90.446389,0.1,0.1382621,0,IL0079162
3246,4189,IL06140,ICIS2022,IL,"POPLAR GROVE SOUTH STP, VILLAGE OF",POPLAR GROVE,42.3339,-88.846,1.0,1.382621002,0,IL0071447
3252,4195,IL06185,ICIS2022,IL,REND LAKE CONSERVANCY DISTRICT - STP,EWING,38.088333,-88.845,0.5,0.691310501,0,IL0065111
3266,4209,IL06335,ICIS2022,IL,SOUTH FORK SD STP,TOVEY,39.585,-89.418333,0.102,0.141027342,0,IL0050148
3267,4210,IL06340,ICIS2022,IL,SOUTH WILMINGTON EAST BROOKLYN STP,SOUTH WILMINGTON,41.176667,-88.265,0.1,0.1382621,0,IL0054321
3751,4716,IL06360,ICIS2022,IL,"ST ANNE STP, VILLAGE OF",SAINT ANNE,41.048694,-87.656389,0.154,0.212923634,0,IL0025755
3753,4718,IL06455,ICIS2022,IL,THOMSON MUNICIPAL WASTEWATER TREATMENT PLANT,THOMSON,41.968056,-90.121111,0.8,1.106096802,0,IL0073890
3754,4719,IL06460,ICIS2022,IL,"TISKILWA STP, VILLAGE OF",TISKILWA,41.29,-89.485,0.12,0.16591452,0,IL0025160
4444,5635,IL06490,ICIS2022,IL,TUSCOLA - SOUTHSIDE STP,TUSCOLA,39.785556,-88.272778,0.75,1.036965752,0,IL0026107
4445,5636,IL06610,ICIS2022,IL,"WEST CITY STP, VILLAGE OF",BENTON,38.018333,-88.938333,0.1,0.1382621,0,ILG580215
4446,5637,IL06630,ICIS2022,IL,WILLIAMSFIELD  WWTP,WILLIAMSFIELD,40.928333,-90.01,0.1,0.1382621,0,ILG580087
4447,5638,IN05000,ICIS2022,IN,CLEVELAND-CLIFFS LLC WWTP,BURNS HARBOR,41.620444,-87.146333,1.05,1.451752053,0,INJ060801
4448,5639,IN05050,ICIS2022,IN,TRICO WATER RESOURCE RECOVERY FACILITY,BOONE COUNTY,39.9375,-86.242,5.72,7.908592134,0,IN0055760
4449,5640,IN05055,ICIS2022,IN,WINFIELD WWTP,CROWN POINT,41.413806,-87.250889,0.33,0.456264931,0,IN0058343
4717,5932,KY02830,ICIS2022,KY,BATH COUNTY INDUSTRIAL PARK,OWINGSVILLE,38.127222,-83.769444,0.147,0.203245287,0,KY0106887
4718,5933,KY02835,ICIS2022,KY,BELFRY WWTP,BELFRY,37.62417,-82.27208,0.0,0.0,0,KY0108260
4719,5934,KY02850,ICIS2022,KY,CROFTON WWTP,CROFTON,37.0525,-87.472222,0.12,0.16591452,0,KY0066591
4720,5935,KY02860,ICIS2022,KY,LAKE CITY WWTP,GRAND RIVERS,37.040278,-88.232222,0.0,0.0,0,KY0110795
4721,5936,KY02865,ICIS2022,KY,NEW MARION WWTP,MARION,37.331667,-88.081389,0.0,0.0,0,KY0113247
4722,5937,KY02875,ICIS2022,KY,OLDHAM COUNTY ENVIRONMENTAL AUTHORITY REGIONAL WWTP,CRESTWOOD,38.325,-85.545167,0.0,0.0,0,KY0111716
4723,5938,LA02925,ICIS2022,LA,CARVILLE WWTF,SAINT GABRIEL,30.229167,-91.098333,0.214,0.295880895,0,LA0115771
4725,5940,LA02930,ICIS2022,LA,COUNTRY CLUB SUBDIVISION WWTP,THIBODAUX,29.777778,-90.797778,0.181,0.250254401,0,LA0118346
4726,5941,LA02935,ICIS2022,LA,DOGWOOD SUBDIVISION SOUTHPOND,HAUGHTON,32.569444,-93.633889,0.46,0.636005661,0,LA0059471
4727,5942,LA02940,ICIS2022,LA,LAKESHORE SUBDIVISION WASTEWATER TREATMENT FACILITY,MONROE,32.552778,-91.999167,0.5,0.691310501,0,LA0047341
4728,5943,LA02955,ICIS2022,LA,MINDEN DIESEL POWER PLANT,MINDEN,32.609167,-93.290278,0.5,0.691310501,0,LA0109886
4729,5944,LA02960,ICIS2022,LA,MINDEN STEAM POWER PLANT,MINDEN,32.603611,-93.295,0.5,0.691310501,0,LA0109894
4992,6252,LA02965,ICIS2022,LA,OAK HARBOR EAST STP,SLIDELL,30.221389,-89.778056,0.724,1.001017606,0,LA0117765
4993,6253,LA02975,ICIS2022,LA,ST TAMMANY PARISH-CROSS GATE,SLIDELL,30.308333,-89.723611,0.9,1.244358902,0,LA0048941
5476,6795,LA02980,ICIS2022,LA,ST. TAMMANY PARISH GOVERNMENT - CASTINE REGIONAL SEWAGE TREATMENT PLANT,MANDEVILLE,30.369167,-90.016944,0.919,1.270628701,0,LA0120154
5477,6796,LA02990,ICIS2022,LA,"THIBODAUX, CITY OF- NORTH THIBODAUX WWTP",THIBODAUX,29.834444,-90.803889,0.0,0.0,0,LA0127208
5478,6797,LA02995,ICIS2022,LA,WESTWOOD REGIONAL STP,MANDEVILLE,30.409167,-90.076111,0.472,0.652597113,0,LA0063991
5479,6798,LA03000,ICIS2022,LA,WINN CORRECTIONAL CENTER,WINNFIELD,31.845,-92.781944,0.15,0.20739315,0,LA0107000
5620,6987,MD01720,ICIS2022,MD,ALLEGANY COUNTY COMBINED SEWER,ALLEGHANY COUNTY,39.48528,-79.04167,1.14,1.576187943,0,MD0067407
5635,7002,MD01735,ICIS2022,MD,PINEY ORCHARD WWTP,ODENTON,39.0331,-76.4402,0.7,0.967834702,0,MD0059145
5636,7003,MI03940,ICIS2022,MI,HANNAHVILLE INDIAN COMM. WWTP,WILSON,45.69703,-87.336472,0.172,0.237810812,0,MI0057366
5645,7012,MI03950,ICIS2022,MI,ISABELLA CO LANDFILL,MOUNT PLEASANT,43.634694,-84.792111,0.36,0.497743561,0,MI0054003
5656,7023,MI03955,ICIS2022,MI,ISABELLA RESERVATION WWTP,MOUNT PLEASANT,43.591253,-84.700603,0.58,0.801920181,0,MI0054861
5661,7028,MI03970,ICIS2022,MI,UNION TWP WWTP,MOUNT PLEASANT,43.599492,-84.774788,1.2,1.659145203,0,MI0055808
5684,7051,MN01865,ICIS2022,MN,APPLETON WWTP,APPLETON,45.2016305,-96.0326714,0.44,0.608353241,0,MN0021890
5696,7063,MN01990,ICIS2022,MN,BYRON WWTP,BYRON,44.0517106,-92.6431343,1.4,1.935669403,0,MN0049239
5703,7070,MN02010,ICIS2022,MN,CENTRAL IRON RANGE SANITARY SEWER DISTRICT WWTP,CHISHOLM,47.4794138,-92.8419213,5.0,6.913105013,0,MN0020117
5713,7080,MN02095,ICIS2022,MN,CRYSTAL LAKE FLOCCULATION TREATMENT FACILITY,ROBBINSDALE,45.0217206,-93.3268998,0.72,0.995487122,0,MN0069957
5724,7091,MN02245,ICIS2022,MN,GLACIAL LAKES SSWD,SPICER,45.2572401,-94.8464585,0.889,1.229150071,0,MN0052752
5728,7095,MN02280,ICIS2022,MN,GREENFIELD WWTP,GREENFIELD,45.0812713,-93.7314712,0.1,0.1382621,0,MN0063762
6486,7871,MN02515,ICIS2022,MN,LOWER SIOUX WWSL,REDWOOD FALLS,44.514694,-94.985325,0.1,0.1382621,0,MN0061433
6487,7872,MN02610,ICIS2022,MN,MILLE LACS WWTF,ONAMIA,46.178104,-93.799383,0.31,0.428612511,0,MN0064637
6488,7873,MN02680,ICIS2022,MN,ORONOCO WWTP,ORONOCO,44.1665326,-92.5355253,0.0,0.0,0,MN0071421
6489,7874,MN02785,ICIS2022,MN,RICH PRAIRIE SEWER TREATMENT FACILITY,PIERZ,45.9359253,-94.0796867,0.0,0.0,0,MNG585211
6490,7875,MN02865,ICIS2022,MN,SHETEK AREA WATER & SEWER DISTRICT WWTP,CURRIE,44.0692363,-95.6329588,0.0,0.0,0,MN0070947
6491,7876,MN02885,ICIS2022,MN,SMSC WATER RECLAMATION FACILITY,PRIOR LAKE,44.72507,-93.46468,0.63,0.871051232,0,MN0067938
6492,7877,MO07820,ICIS2022,MO,FESTUS INTERIM WEST WWTF,FESTUS,38.2331135,-90.428444,0.2,0.276524201,0,MO0122777
6835,8247,MO07830,ICIS2022,MO,HERMANN INDUSTRIAL TRACT LAGOON,HERMANN,38.7070246,-91.408249,0.32,0.442438721,0,MO0116009
6836,8248,MO07875,ICIS2022,MO,JCPSD LOWER BIG RIVER WWTP,HOUSE SPRINGS,38.4224439,-90.588858,0.198,0.273758958,0,MO0115428
6837,8249,MO07885,ICIS2022,MO,JCPSD MIRASOL WWTP,EUREKA,38.4741134,-90.624755,0.9,1.244358902,0,MO0134147
6934,8419,MO07895,ICIS2022,MO,JCPSD RAINTREE PLANTATION WWTP,HILLSBORO,38.2657194,-90.599171,0.17,0.23504557,0,MO0099473
6935,8420,MO08045,ICIS2022,MO,PIKE CREEK SEWER DISTRICT WWTF,POPLAR BLUFF,36.7180285,-90.478027,0.473934,0.655271102,0,MO0124427
7204,8751,MO08055,ICIS2022,MO,POTOSI WWTF #2,CADET,37.9380602,-90.731357,0.174,0.240576054,0,MO0099732
7303,8898,MS04180,ICIS2022,MS,BOGUE CHITTO WASTEWATER TREATMENT FACILITY,PHILADELPHIA,32.840278,-88.938889,0.11,0.15208831,0,MS0043478
7304,8899,MS04190,ICIS2022,MS,NEW HARMONY WWTF,PHILADELPHIA,32.768069,-89.274525,0.2,0.276524201,0,MS0058645
7421,9050,MS04200,ICIS2022,MS,PEARL RIVER WASTEWATER TREATMENT PLANT,PHILADELPHIA,32.787222,-89.205017,0.77,1.064618172,0,MS0053503
7422,9051,MT01690,ICIS2022,MT,CORVALLIS WWTF,CORVALLIS,46.319167,-114.105833,0.1349,0.186515573,0,MTX000122
7423,9052,MT01715,ICIS2022,MT,TOWN OF DARBY WWTF,DARBY,46.026111,-114.172222,0.1506,0.208222723,0,MTG580011
7424,9053,NC03295,ICIS2022,NC,CHEROKEE WASTEWATER TREATMENT PLANT,CHEROKEE,35.467436,-83.351144,3.0,4.147863008,0,NC0052469
7425,9054,ND03035,ICIS2022,ND,FORT YATES LAGOON SYSTEM,FORT YATES,46.0815,-100.6525,0.385,0.532309086,0,NDG589312
7961,9954,ND03040,ICIS2022,ND,FOUR BEARS WASTEWATER TREATMENT SYSTEM,NEW TOWN,47.971972,-102.624028,0.15,0.20739315,0,NDG589106
8542,10593,ND03060,ICIS2022,ND,GREEN ACRE WASTEWATER TREATMENT LAGOONS,ROLETTE,48.8305,-99.697111,0.105,0.145175205,0,NDG589403
9340,11455,ND03160,ICIS2022,ND,MANDAREE WASTEWATER TREATMENT LAGOONS,NEW TOWN,47.4653577,-101.939722,0.14,0.19356694,0,NDG589107
9341,11456,ND03245,ICIS2022,ND,OJIBWA MILLENNIUM SCHOOL WASTEWATER TREATMENT LAGOONS,ROLETTE,48.810639,-99.780306,3.71,5.129523919,0,NDG589410
9342,11457,NV00500,ICIS2022,NV,MOODY LANE REGIONAL WATER RECLAMATION FACILITY,FALLON,39.51505,-118.800431,0.499,0.68992788,0,NV0023582
9631,11962,NY06370,ICIS2022,NY,CALVERTON SEWER DISTRICT & WWTF,CALVERTON,40.910778,-72.79475,1.759,2.432030343,0,NY0025453
9632,11963,OH08865,ICIS2022,OH,HEATHER HILL CARE COMMUNITIES,CHARDON,41.5363,-81.22501,0.1,0.1382621,0,OH0083984
10602,13050,OH09140,ICIS2022,OH,ROLLING HILLS SUBDIV WWTP,BYESVILLE,39.94777,-81.56294,0.1,0.1382621,0,OH0075809
10625,13074,OH09285,ICIS2022,OH,WOODBRAN REALTY WWTP,WOODMERE,41.45616,-81.47498,0.52,0.718962921,0,OH0044555
10646,13096,OK04900,ICIS2022,OK,CHICKASAW TRIBAL UTILITIES AUTHORITY,THACKERVILLE,33.72914,-97.15752,0.96,1.327316162,0,OK0045721
10647,13097,OK04930,ICIS2022,OK,OOWA / TSC,PRYOR,36.223889,-95.263889,2.12,2.931156525,0,OK0034568
