,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),sic_permit
31,CENTRAL REGIONAL WWTF,TX0022802,ARLINGTON,TX,6,2022,2022-09-30T10:13:02.970-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",68769.43,0,,"Land Application, Other Management Practice",68140.29,,,107.33,Class A EQ,"[4952, 4952, 4952, 4952, 9511, 4952, 1623, 4952]"
32,OSO WWTP,TX0047058,CORPUS CHRISTI,TX,6,2022,2022-09-23T10:01:05.502-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2477.22,0,,Other Management Practice,,,,2447.22,Not Applicable,"[4952, 4952, 4952]"
33,CITY OF GARLAND,TX0024678,SUNNYVALE,TX,6,2022,2022-08-10T11:53:02.847-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",6768.26,0,,Other Management Practice,,,,6768.26,Not Applicable,"[4952, 4952, 4952, 4952, 2449, 4952, 4952, 4952]"
34,CITY OF GARLAND ROWLETT CREEK WWTF,TX0024686,GARLAND,TX,6,2022,2022-08-10T11:49:53.338-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1821.91,0,,Other Management Practice,,,,1821.91,Not Applicable,"[4952, 4952, 4952]"
35,LAUGHLIN AFB WWTP BLDG 1004,TX0022608,LAUGHLIN AIR FORCE BASE,TX,6,2022,2022-08-31T07:59:34.879-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[9711, 1542, 9711, 9711, 1542, 4581, 9711, 9711, 9711, 9711, 1623]"
36,CITY OF BONHAM WWTP,TX0021814,BONHAM,TX,6,2022,2022-09-14T08:52:56.507-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",25.51314,0,,Other Management Practice,,,,25.51314,Class B,"[4952, 4952]"
37,CITY OF ROXTON WWTP,TX0053538,ROXTON,TX,6,2022,2022-10-12T11:16:54.011-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
38,POLLARD CREEK WWTP,TX0047414,MINERAL WELLS,TX,6,2022,2022-09-15T14:17:43.099-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",571.43,0,,Other Management Practice,,,,571.43,Class B,"[4952, 4952, 4952]"
39,WILLOW CREEK WWTP,TX0023779,MINERAL WELLS,TX,6,2022,2022-09-15T14:15:31.573-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",17.3,0,,Other Management Practice,,,,17.3,Class B,"[4952, 4952, 4952]"
40,CITY OF JOURDANTON WWTP,TX0082589,JOURDANTON,TX,6,2022,2022-09-09T15:43:35.226-0500,Other,88.6,0,,Other Management Practice,,,,88.6,Class B,"[4952, 4952]"
41,DOUBLE CREEK WWTP,TX0100587,JACKSONVILLE,TX,6,2022,2022-08-16T14:16:50.031-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",257.49,0,,Other Management Practice,,,,257.49,Not Applicable,"[4952, 4952, 4952]"
42,GRANDVIEW WWTP,TX0024503,GRANDVIEW,TX,6,2022,2022-08-31T09:48:10.198-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,6.464,0,,Other Management Practice,,,,6.46,Class B,"[4952, 4952]"
43,BAYSIDE WATER RECLAMATION FACILITY,TX0116157,BAYSIDE,TX,6,2022,2022-09-01T08:58:37.172-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
44,CROSBY MUD WWTF,TX0054151,CROSBY,TX,6,2022,2022-09-29T12:21:02.320-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,0.0,0,,Other Management Practice,,,,50.4,Class B,"[4952, 4952, 4952]"
45,ELGIN WWTP,TX0073946,ELGIN,TX,6,2022,2022-08-17T12:06:47.740-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,0.0159,0,,Land Application,177.5008,,,,Class A,"[4952, 4952]"
46,CITY OF RIO GRANDE CITY - WWTP,TX0068764,RIO GRANDE CITY,TX,6,2022,2022-09-02T15:33:34.178-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1554.0,0,,Surface Disposal,,1554.0,,,Class B,"[4952, 4952]"
47,CITY OF NAVASOTA OLD WWTP,TX0071790,NAVASOTA,TX,6,2022,2022-09-23T11:26:46.736-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,636.61,0,,Other Management Practice,,,,636.58,Class B,"[4952, 4952]"
48,"DEMING, CITY OF - WWTP",NML000009,DEMING,NM,6,2022,2022-08-17T15:38:10.793-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",0.0,0,,Other Management Practice,,,,,Not Applicable,['NO_SIC_MATCH']
49,TOWN OF MUSTANG MHP WWTF,TX0125199,CORSICANA,TX,6,2022,2022-09-23T22:38:38.197-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[6515, 6515]"
50,CITY OF GRUVER WWTP,TX0023604,GRUVER,TX,6,2022,2022-09-14T16:46:54.948-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
51,CITY OF NIXON WWTP,TX0070785,NIXON,TX,6,2022,2022-09-01T08:24:25.805-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,103.0,0,,Other Management Practice,,,,103.0,Not Applicable,"[4952, 4952]"
52,CITY OF COMMERCE WWTF,TX0020591,COMMERCE,TX,6,2022,2022-08-18T13:56:50.752-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,558.56,0,,Other Management Practice,,,,558.56,Not Applicable,"[4952, 4952]"
53,CLYDE WWTP,TX0105201,CLYDE,TX,6,2022,2022-09-28T17:47:35.150-0500,Other,60.3,0,,Other Management Practice,,,,60.3,Class B,"[4952, 4952]"
54,BIG OAKS MUD WWTP,TX0096911,HOUSTON,TX,6,2022,2022-09-21T12:30:58.827-0500,Other,58.536,0,,Land Application,58.536,,,,Class B,"[4952, 4952]"
55,MAIN PLANT WWTF,TX0022926,PORT NECHES,TX,6,2022,2022-09-27T08:40:15.278-0500,"A POTW that serves 10,000 people or more",651.0,0,,Other Management Practice,,,,651.0,Class B,"[4952, 4952, 4952, 4952, 4952]"
56,HARMONY ISD WWTP,TX0097233,BIG SANDY,TX,6,2022,2022-09-29T18:29:22.085-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[8211, 8211]"
57,BRAZORIA COUNTY MUD 25 WWTP,TX0124737,HOUSTON,TX,6,2022,2022-09-21T12:21:33.578-0500,Other,52.721,0,,Land Application,52.721,,,,Class B,[4952]
58,BROOKSHIRE MWD WWTF,TX0025046,BROOKSHIRE,TX,6,2022,2022-09-21T12:37:16.173-0500,Other,81.939,0,,Land Application,81.939,,,,Class B,"[4952, 4952, 4952]"
59,CITY OF ARCOLA WWTP,TX0102385,ARCOLA,TX,6,2022,2022-09-21T12:09:34.143-0500,Other,25.67,0,,Land Application,25.67,,,,Class B,"[4952, 4952]"
60,FAIRGREEN WWTP,TX0071382,HOUSTON,TX,6,2022,2022-09-21T13:20:31.692-0500,Other,79.89,0,,Land Application,79.89,,,,Class B,"[4952, 4952]"
61,FAULKEY GULLY MUD WWTP,TX0072354,HOUSTON,TX,6,2022,2022-09-30T22:25:57.268-0500,Other,86.31,0,,Land Application,86.31,,,,Class B,"[4952, 4952, 4952]"
62,FORT BEND COUNTY MUD 41 WWTP,TX0089249,HOUSTON,TX,6,2022,2022-09-30T22:29:40.253-0500,Other,72.49,0,,Land Application,72.49,,,,Class B,"[4952, 4952]"
63,FORT BEND COUNTY MUD 5,TX0129194,HOUSTON,TX,6,2022,2022-09-21T13:59:25.407-0500,Other,17.449,0,,Land Application,17.449,,,,Class B,"[4952, 4952]"
64,FT BEND COUNTY MUD 34 WWTP,TX0085448,HOUSTON,TX,6,2022,2022-09-21T13:28:28.576-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,59.214,0,,Land Application,59.214,,,,Class B,"[4952, 4952]"
65,FORT BEND CNTY MUD 34 WWTP ,TX0129062,HOUSTON,TX,6,2022,2022-09-21T13:39:16.062-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,24.753,0,,Land Application,24.7538,,,,Class B,"[4952, 4952]"
66,GLEAMLOCK FARMS WWTF,TX0115983,HOUSTON,TX,6,2022,2022-09-30T17:07:58.938-0500,Other,130.16,0,,Land Application,130.16,,,,Class B,"[4952, 4952]"
67,GLENDALE LAKES SUBDIVISION WWTP,TX0132896,HOUSTON,TX,6,2022,2022-09-21T14:39:07.723-0500,Other,23.33,0,,Land Application,23.33,,,,Class B,['NO_SIC_MATCH']
68,GREEN TRAILS MUD WWTP,TX0085332,HOUSTON,TX,6,2022,2022-09-21T14:48:29.817-0500,Other,57.09921,0,,Land Application,57.099,,,,Class B,"[4952, 4952]"
69,HARRIS CO MUD 1 WWTF,TX0128261,HOUSTON,TX,6,2022,2022-09-30T19:43:52.806-0500,Other,42.35,0,,Land Application,42.35,,,,Class B,"[4952, 4952]"
70,HARRIS CO MUD 200 WWTP,TX0085413,HOUSTON,TX,6,2022,2022-09-21T15:01:00.161-0500,Other,106.67,0,,Land Application,106.67,,,,Class B,"[4952, 4952]"
71,HARRIS CO MUD 250 WWTP,TX0093581,HOUSTON,TX,6,2022,2022-09-30T16:55:16.844-0500,Other,11.237,0,,Land Application,11.29,,,,Class B,"[4952, 4952, 4952]"
72,HARRIS COUNTY MUD 104 WWTP,TX0074632,HOUSTON,TX,6,2022,2022-09-21T14:53:47.168-0500,Other,16.12,0,,Land Application,16.12,,,,Class B,"[4952, 4952]"
73,HARRIS COUNTY MUD 130 WWTP,TX0091316,HOUSTON,TX,6,2022,2022-09-21T14:56:50.676-0500,Other,33.21,0,,Land Application,33.21,,,,Class B,"[4952, 4952]"
74,HARRIS COUNTY MUD 155 WWTP,TX0100161,HOUSTON,TX,6,2022,2022-09-21T14:58:38.457-0500,Other,64.222,0,,Land Application,64.222,,,,Class B,"[4952, 4952]"
75,CITY OF LA FERIA WWTP,TX0128112,LA FERIA,TX,6,2022,2022-08-19T14:04:21.658-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,23.81,0,,Other Management Practice,,,,23.81,Class B,"[4952, 4952]"
76,CITY OF BAY CITY WWTP,TX0034461,BAY CITY,TX,6,2022,2022-09-20T13:29:59.128-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",342.15,0,,Other Management Practice,,,,342.15,Class B,"[4952, 4952]"
77,CITY OF DODD CITY WWTP,TX0057169,DODD CITY,TX,6,2022,2022-08-20T17:34:04.230-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
78,HARRIS COUNTY MUD 26 WWTP,TX0056537,HOUSTON,TX,6,2022,2022-09-30T16:59:43.986-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,132.88,0,,Land Application,132.88,,,,Class B,"[4952, 4952]"
79,HARRIS COUNTY MUD 36 WWTP,TX0084085,HOUSTON,TX,6,2022,2022-09-30T17:03:12.263-0500,Other,9.95,0,,Land Application,9.95,,,,Class B,"[4952, 4952]"
80,HARRIS COUNTY MUD 401 WWTP,TX0125687,HOUSTON,TX,6,2022,2022-09-30T18:13:26.487-0500,Other,39.904,0,,Land Application,39.904,,,,Class B,"[4952, 4952]"
81,HARRIS COUNTY MUD 432 WWTP,TX0127647,HOUSTON,TX,6,2022,2022-09-30T18:20:57.377-0500,Other,140.6,0,,Land Application,140.6,,,,Class B,"[4952, 4952]"
82,COLOVISTA WWTP,TX0131539,AUSTIN,TX,6,2022,2022-09-13T09:42:48.881-0500,Other,1.41,0,,Other Management Practice,,,,1.41,Not Applicable,"[4952, 4952]"
83,HARRIS COUNTY MUD 50 WWTP,TX0057053,CROSBY,TX,6,2022,2022-09-30T18:37:25.109-0500,Other,0.0,0,,Land Application,,,,,Class B,"[4952, 4952]"
84,HARRIS COUNTY MUD 50 WWTP 2,TX0136174,CROSBY,TX,6,2022,2022-09-30T18:38:21.363-0500,Other,0.0,0,,Land Application,,,,,Class B,"[4952, 4952]"
85,HARRIS COUNTY MUD 58 WWTP,TX0074322,HOUSTON,TX,6,2022,2022-09-30T18:41:49.514-0500,Other,44.686,0,,Land Application,44.686,,,,Class B,"[4952, 4952]"
86,STILL CREEK WWTP,TX0025071,BRYAN,TX,6,2022,2022-09-06T13:55:08.051-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",524.17,0,,Surface Disposal,,1.0,,,Class B,"[4952, 4952, 4952, 4952]"
87,THOMPSONS CREEK WWTP,TX0128554,BRYAN,TX,6,2022,2022-09-06T13:58:28.847-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",132.19,0,,Surface Disposal,,1.0,,,Class B,"[4952, 4952, 4952]"
88,HARRIS COUNTY MUD 70 WWTP,TX0062031,HOUSTON,TX,6,2022,2022-09-30T18:44:43.358-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,73.89,0,,Land Application,73.89,,,,Class B,"[4952, 4952]"
89,HARRIS COUNTY WCID 113 WWTP,TX0062049,HOUSTON,TX,6,2022,2022-09-30T21:21:19.695-0500,Other,12.85,0,,Land Application,12.85,,,,Class B,"[4952, 4952]"
90,HARRIS COUNTY WCID 74 WWTP,TX0023825,HOUSTON,TX,6,2022,2022-09-30T22:18:01.952-0500,Other,54.16,0,,Land Application,54.16,,,,Class B,"[4952, 4952]"
91,HEATHER GLEN WWTP,TX0021245,HOUSTON,TX,6,2022,2022-09-30T21:01:32.409-0500,Other,28.39,0,,Land Application,28.39,,,,Class B,"[4952, 4952]"
92,MARTIN DIES JR WWTP,TX0068276,AUSTIN,TX,6,2022,2022-09-07T11:52:22.837-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[7033, 7033]"
93,HUNTER'S GLEN MUD WWTP,TX0118371,HOUSTON,TX,6,2022,2022-09-30T18:48:09.380-0500,Other,147.4,0,,Land Application,147.4,,,,Class B,"[4952, 4952, 4952, 4952]"
94,MEADOWS WWTP,TX0021270,HOUSTON,TX,6,2022,2022-09-30T21:07:08.883-0500,Other,48.77,0,,Land Application,48.77,,,,Class B,"[4941, 4941]"
95,MONTGOMERY COUNTY MUD 112 WWTP,TX0128431,HOUSTON,TX,6,2022,2022-09-30T18:51:01.738-0500,Other,55.11,0,,Land Application,55.11,,,,Class B,"[4952, 4952]"
96,CENTRAL WWTP,TX0094927,PFLUGERVILLE,TX,6,2022,2022-10-07T13:33:36.369-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",42941.02,0,,Other Management Practice,,,,42941.02,Class A,"[4952, 4952]"
97,AJ BROWN PARKER CREEK WWTF,TX0072974,HUNTSVILLE,TX,6,2022,2022-09-08T11:14:00.412-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",376.53,0,,Other Management Practice,,,,376.53,Class A,"[4952, 4952, 4952]"
98,MONTGOMERY COUNTY MUD 127 WWTP,TX0135941,HOUSTON,TX,6,2022,2022-09-30T19:00:30.121-0500,Other,11.41,0,,Land Application,11.41,,,,Class B,"[4952, 4952]"
99,MONTGOMERY COUNTY MUD 15-WWTP,TX0022055,HOUSTON,TX,6,2022,2022-09-30T19:07:42.230-0500,Other,115.0,0,,Land Application,115.0,,,,Class B,"[4952, 4952]"
100,CITY OF MERIDIAN WWTF 2,TX0053678,MERIDIAN,TX,6,2022,2022-09-06T16:08:12.987-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,189.09,0,,Land Application,189.0,,,,Class B,"[4952, 4952]"
101,MONTGOMERY COUNTY MUD 24 WWTP,TX0071412,HOUSTON,TX,6,2022,2022-09-30T19:11:55.939-0500,Other,28.95,0,,Land Application,28.95,,,,Class B,"[4952, 4952]"
102,MONTGOMERY COUNTY MUD 88 WWTP,TX0126713,HOUSTON,TX,6,2022,2022-09-30T19:18:59.110-0500,Other,41.08,0,,Land Application,41.08,,,,Class B,"[4952, 4952]"
103,MONTGOMERY COUNTY MUD 99 WWTF,TX0127752,HOUSTON,TX,6,2022,2022-09-30T19:31:34.833-0500,Other,112.09,0,,Land Application,112.09,,,,Class B,"[4952, 4952]"
104,MONTGOMERY COUNTY MUD NO 56 WWTP,TX0089672,HOUSTON,TX,6,2022,2022-09-30T19:14:39.254-0500,Other,17.12,0,,Land Application,17.12,,,,Class B,"[4952, 4952]"
105,NORTH PARK PUD WWTP,TX0072567,HOUSTON,TX,6,2022,2022-09-30T19:46:49.484-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,92.805,0,,Land Application,92.805,,,,Class B,"[4952, 4952, 4952]"
106,OAKWILDE WWTP,TX0021253,HOUSTON,TX,6,2022,2022-09-30T20:49:58.689-0500,Other,82.21,0,,Land Application,82.21,,,,Class B,"[4952, 4941, 4952, 4941]"
107,PONDEROSA JOIN POWERS AGENCY REGIONAL WWTF,TX0046761,HOUSTON,TX,6,2022,2022-09-30T20:06:48.988-0500,Other,396.093,0,,Land Application,396.09,,,,Class B,"[4952, 4952]"
108,RAYFORD ROAD MUD WWTP,TX0078263,HOUSTON,TX,6,2022,2022-09-30T20:11:00.227-0500,Other,70.97,0,,Land Application,70.97,,,,Class B,"[4952, 4952]"
109,REID ROAD MUD 1 WWTP,TX0053325,HOUSTON,TX,6,2022,2022-09-30T20:15:09.974-0500,Other,129.75,0,,Land Application,129.75,,,,Class B,"[4952, 4952]"
110,REMBERT TRACT WWTP,TX0117706,HOUSTON,TX,6,2022,2022-09-30T19:22:26.864-0500,Other,43.06,0,,Land Application,43.06,,,,Class B,"[4952, 4952]"
111,RODEO PALMS WWTP,TX0124001,HOUSTON,TX,6,2022,2022-09-21T12:25:56.249-0500,Other,55.95,0,,Land Application,55.95,,,,Class B,"[4952, 4952]"
112,SPRING CREEK UD WWTP,TX0026221,HOUSTON,TX,6,2022,2022-09-30T20:40:54.686-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,69.97,0,,Land Application,69.97,,,,Class B,"[4952, 4952]"
113,SUNBELT FWSD WWTP,TX0021261,HOUSTON,TX,6,2022,2022-09-30T20:46:18.546-0500,Other,38.87,0,,Land Application,38.87,,,,Class B,"[4952, 4952]"
114,WESLACO NORTH WWTP,TX0052787,WESLACO,TX,6,2022,2022-08-22T15:42:38.607-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",288.56,0,,Other Management Practice,,,,288.56,Class B,"[4952, 4952]"
115,WESLACO SOUTH WWTP,TX0116394,WESLACO,TX,6,2022,2022-08-22T15:56:20.055-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",174.83,0,,Other Management Practice,,,,174.83,Class B,"[4952, 4952]"
116,TOWER OAK BEND WSC WWTP,TX0076791,HOUSTON,TX,6,2022,2022-09-30T21:10:40.564-0500,Other,6.44,0,,Land Application,6.44,,,,Class B,[4952]
