,Unnamed: 0,FACILITY_CODE,SOURCE,FACILITY,CITY,LATITUDE,LONGITUDE,FLOW_2012_MGD,2012_TOT_ANNUAL_MM3,CWNS_NUM,NPDES_ID,sic_code_type
1440,2160,CA05025,ICIS2022,MOUNTAIN HOUSE WWTP,MOUNTAIN HOUSE,37.797778,-121.522222,0.91,1.258185112,0,CA0084271,sewer_system
1441,2161,CA05030,ICIS2022,NORTHWEST WWTF,RIO VISTA,38.194306,-121.712444,0.27,0.373307671,0,CA0083771,sewer_system
1442,2162,CA05050,ICIS2022,SCOTIA WWTF,SCOTIA,40.454694,-124.039111,5,6.913105013,0,CA0006017,sewer_system
1443,2163,CA05060,ICIS2022,THUNDER VALLEY CASINO WWTP,LINCOLN,38.839111,-121.307556,0.875,1.209793377,0,CA0084697,sewer_system
1444,2164,CO02820,ICIS2022,LA JUNTA CITY OF,LA JUNTA,37.9869,-103.529444,2.5,3.456552506,0,CO0021261,sewer_system
1445,2165,CO02830,ICIS2022,SOUTHERN UTE INDIAN TRIBE,IGNACIO,37.104167,-107.631528,0.8,1.106096802,0,CO0022853,sewer_system
1728,2511,CO02835,ICIS2022,TOWAOC LAGOON 1,TOWAOC,37.185417,-108.7205,0,0,0,COG587103,sewer_system
1729,2512,CO02840,ICIS2022,TOWAOC LAGOON 2,TOWAOC,37.186417,-108.700611,0,0,0,COG587101,sewer_system
1730,2513,FL03810,ICIS2022,DISTRICT II WWTF,JACKSONVILLE,30.4229306,-81.6184222,10,13.82621003,0,FL0026450,sewer_system
1731,2514,FL03815,ICIS2022,MILITARY POINT INDUSTRIAL LAGOON,PANAMA CITY,30.1156,-85.6305333,37,51.15697709,0,FL0002631,sewer_system
1732,2515,FL03820,ICIS2022,MONTEREY WRF,JACKSONVILLE,30.3306031,-81.6011646,3.6,4.977435609,0,FL0023604,sewer_system
1733,2516,FL03825,ICIS2022,NASSAU REGIONAL WWTF,YULEE,30.6216389,-81.5530861,2,2.765242005,0,FL0116793,sewer_system
1734,2517,FL03830,ICIS2022,PALM BEACH COUNTY SOUTHERN REGION WATER RECLAMATION FACILITY,BOYNTON BEACH,26.4867611,-80.1711028,30,41.47863008,0,FL0041424,sewer_system
1735,2518,FL03835,ICIS2022,PASCO COUNTY UTILITIES - MASTER REUSE SYSTEM,NEW PORT RICHEY,28.320111,-82.4185,26.75,36.98511182,0,FL0127272,sewer_system
1736,2519,GA03450,ICIS2022,"ABBEVILLE, CITY OF (ABBEVILLE WPCP)",ABBEVILLE,31.995918,-83.296967,0.29,0.400960091,0,GA0047643,sewer_system
1737,2520,GA03455,ICIS2022,"AMERICUS, CITY OF (MILL CREEK WPCP)",AMERICUS,32.037412,-84.229801,2.2,3.041766206,0,GA0047767,sewer_system
1738,2521,GA03530,ICIS2022,"COMMERCE, CITY OF  (NORTHSIDE WPCP)",COMMERCE,34.218344,-83.437835,0.923,1.276159185,13000573001,GA0026247,sewer_system
1739,2522,GA03545,ICIS2022,"CONCORD, CITY OF (SOUTH WPCP)",CONCORD,33.082867,-84.432036,0.1,0.1382621,13000574002,GA0025470,sewer_system
1740,2523,GA03465,ICIS2022,"AUGUSTA, CITY OF (SPIRIT CREEK WPCP)",AUGUSTA,33.313135,-81.943256,0.3406,0.470920713,0,GA0047147,sewer_system
1741,2524,GA03480,ICIS2022,"BLUE RIDGE, CITY OF (BLUE RIDGE WPCP)",BLUE RIDGE,34.883913,-84.305761,0.39,0.539222191,0,GA0037583,sewer_system
1742,2525,GA03485,ICIS2022,BRUNSWICK-GLYNN COUNTY JOINT WATER & SEWER COMMISSION (EXIT 29 WPCP),BRUNSWICK,31.128744,-81.582424,1.5,2.073931504,0,GA0038938,sewer_system
1743,2526,GA03490,ICIS2022,BRUNSWICK-GLYNN COUNTY JWSC (SAINT SIMONS ISLAND WPCP),SAINT SIMONS ISLAND,31.186831,-81.385266,2.9,4.009600907,0,GA0021521,sewer_system
1744,2527,GA03500,ICIS2022,CHEROKEE  COUNTY WATER & SEWERAGE AUTHORITY (RIVERBEND WWTP),BALL GROUND,34.299813,-84.393542,0,0,0,GA0050242,sewer_system
1745,2528,GA03510,ICIS2022,CHEROKEE COUNTY WATER & SEWERAGE AUTHORITY (FITZGERALD CREEK WPCP),WOODSTOCK,34.099428,-84.447093,4.42,6.111184831,0,GA0038555,sewer_system
1746,2529,GA03515,ICIS2022,CHEROKEE COUNTY WATER & SEWERAGE AUTHORITY (ROSE CREEK WPCP),WOODSTOCK,34.136429,-84.567925,2.7,3.733076707,0,GA0046451,sewer_system
1747,2530,GA03525,ICIS2022,COLUMBUS WATER WORKS (COLUMBUS CSO),COLUMBUS,32.445894,-84.982037,32.3,44.65865838,0,GA0036838,sewer_system
1748,2531,GA03565,ICIS2022,"CUMMING, CITY OF  (BETHELVIEW ROAD WPCP)",CUMMING,34.196355,-84.189286,2.36,3.262985566,0,GA0046019,sewer_system
1749,2532,GA03575,ICIS2022,"DALLAS, CITY OF (PUMPKINVINE CREEK WPCP)",DALLAS,33.960876,-84.835156,0,0,0,GA0039241,sewer_system
1750,2533,GA03600,ICIS2022,FORSYTH COUNTY DEPARTMENT OF WATER & SEWER (DICK CREEK WRF),SUWANEE,34.087492,-84.154012,0.59,0.815746391,0,GA0038563,sewer_system
1751,2534,GA03605,ICIS2022,FORSYTH COUNTY DEPARTMENT OF WATER AND SEWER (FOWLER & SHAKERAG WRF),SUWANEE,34.058917,-84.114791,6,8.295726015,0,GA0038954,sewer_system
1752,2535,GA03610,ICIS2022,FORSYTH COUNTY DEPARTMENT OF WATER AND SEWER (FOWLER WRF),CUMMING,34.153828,-84.213499,5,6.913105013,0,GA0038695,sewer_system
1753,2536,GA03615,ICIS2022,FORSYTH COUNTY DEPARTMENT OF WATER AND SEWER (JAMES CREEK WRF),SUWANEE,34.128152,-84.123769,1.26,1.742102463,0,GA0050238,sewer_system
1754,2537,GA03670,ICIS2022,"JACKSON, CITY OF (YELLOW WATER CREEK WPCP)",JACKSON,33.309573,-83.968671,0.28,0.387133881,13000667002,GA0021831,sewer_system
1755,2538,GA03620,ICIS2022,FULTON COUNTY PUBLIC WORKS DEPARTMENT (LITTLE BEAR CREEK WPCP),CHATTAHOOCHEE HILLS,33.558148,-84.699598,0.1,0.1382621,0,GA0047104,sewer_system
1756,2539,GA03685,ICIS2022,"LAKELAND, CITY OF (LAKELAND WPCP)",LAKELAND,31.046439,-83.068107,0.25,0.345655251,13000128001,GA0021296,sewer_system
1757,2540,GA03625,ICIS2022,GEORGIA DEPARTMENT OF CORRECTIONS (ROGERS STATE PRISON WPCP),REIDSVILLE,32.006412,-82.156504,0.85,1.175227852,0,GA0022900,sewer_system
1758,2541,GA03630,ICIS2022,GWINNETT COUNTY (F WAYNE HILL WATER RESOURCES CENTER),BUFORD,34.05933,-84.016005,0.45,0.622179451,0,GAG960001,sewer_system
1759,2542,GA03715,ICIS2022,"MIDVILLE, CITY OF (MIDVILLE WPCP)",MIDVILLE,32.814856,-82.230511,0.209,0.28896779,13000141001,GA0020028,sewer_system
1760,2543,GA03635,ICIS2022,GWINNETT COUNTY BOARD OF COMMISSIONERS (F. WAYNE HILL WRC),BUFORD,34.058903,-84.016176,32.77,45.30849025,0,GA0038130,sewer_system
1761,2544,GA03735,ICIS2022,"PEMBROKE, CITY OF (PEMBROKE WPCP)",PEMBROKE,32.172161,-81.623662,0.104,0.143792584,13000154001,GA0038377,sewer_system
1762,2545,GA03645,ICIS2022,"HAWKINSVILLE, CITY OF (NORTH WPCP)",HAWKINSVILLE,32.306803,-83.471227,0.473,0.653979734,0,GA0046027,sewer_system
1763,2546,GA03650,ICIS2022,HENRY COUNTY WATER AUTHORITY (INDIAN CREEK WRF),MCDONOUGH,33.333103,-84.141011,0,0,0,GA0050241,sewer_system
2530,3341,IA07765,ICIS2022,CARSON CITY OF STP,CARSON,41.23004,-95.42548,0.161,0.222601981,19000126001,IA0042901,sewer_system
2531,3342,GA03660,ICIS2022,"HINESVILLE, CITY OF (PEACOCK CREEK WRF)",HINESVILLE,31.849,-81.637,1.086,1.501526409,0,GA0038792,sewer_system
2532,3343,GA03665,ICIS2022,JACKSON COUNTY WATER & SEWER AUTHORITY (MIDDLE OCONEE WPCP),JEFFERSON,34.096306,-83.603455,0.49,0.677484291,0,GA0002712,sewer_system
2835,3729,GA03680,ICIS2022,JEKYLL ISLAND STATE PARK AUTHORITY (JEKYLL ISLAND WPCP),JEKYLL ISLAND,31.044071,-81.421199,0.335,0.463178036,0,GA0020508,sewer_system
2836,3730,GA03690,ICIS2022,LEE COUNTY UTILITIES AUTHORITY (KINCHAFOONEE CREEK WPCP),LEESBURG,31.633447,-84.181093,0.6,0.829572602,0,GA0026603,sewer_system
3053,3996,GA03700,ICIS2022,"MADISON, CITY OF (INDIAN CREEK WRF)",MADISON,33.54786,-83.491239,1,1.382621002,0,GA0038741,sewer_system
3054,3997,IL04670,ICIS2022,ALBANY WWTP,ALBANY,41.795,-90.21,0.14,0.19356694,17005917001,IL0023302,sewer_system
3055,3998,IL04675,ICIS2022,ALBION WWTP,ALBION,38.376194,-88.057194,0.51,0.705136711,17007401001,IL0027405,sewer_system
3056,3999,IL04680,ICIS2022,"ALEDO NORTH WWTP, CITY OF",ALEDO,41.2272,-90.7564,0.45,0.622179451,17001315001,ILG582006,sewer_system
3057,4000,IL04685,ICIS2022,"ALEDO SOUTH STP, CITY OF",ALEDO,41.216667,-90.733333,0.75,1.036965752,17001315002,IL0027316,sewer_system
3058,4001,IL04705,ICIS2022,"ALPHA STP, VILLAGE OF",ALPHA,41.186667,-90.393333,0.16,0.22121936,17000376001,ILG580019,sewer_system
3059,4002,IL04715,ICIS2022,"AMBOY STP, CITY OF ",AMBOY,41.698333,-89.341667,0.5,0.691310501,17003016001,IL0027472,sewer_system
3060,4003,IL04725,ICIS2022,"ARCOLA STP, CITY OF",ARCOLA,39.695,-88.276667,0.5,0.691310501,17001405001,IL0027499,sewer_system
3061,4004,IL04735,ICIS2022,"ARTHUR STP, VILLAGE OF",ARTHUR,39.708333,-88.471667,0.5,0.691310501,17001403001,IL0021741,sewer_system
3062,4005,IL04740,ICIS2022,"ASHLAND STP, VILLAGE OF",ASHLAND,39.886667,-90.02,0.15,0.20739315,17007102001,IL0027529,sewer_system
3063,4006,IL04745,ICIS2022,"ASHLEY STP, CITY OF",ASHLEY,38.32,-89.186667,0.25,0.345655251,17009811001,ILG580199,sewer_system
3064,4007,IL04750,ICIS2022,"ASTORIA STP, VILLAGE OF",ASTORIA,40.221667,-90.365,0.28,0.387133881,17007504001,IL0025364,sewer_system
3065,4008,IL04755,ICIS2022,"ATHENS STP, CITY OF",ATHENS,39.953333,-89.735,0.3,0.414786301,17002912020,IL0041203,sewer_system
3066,4009,IL04760,ICIS2022,"ATWOOD STP, VILLAGE OF",ATWOOD,39.795,-88.466667,0.2,0.276524201,17000050001,IL0025097,sewer_system
3067,4010,IL04765,ICIS2022,"AUBURN STP, CITY OF",AUBURN,39.6,-89.723333,0.62,0.857225022,17000385001,IL0022403,sewer_system
3068,4011,IL04790,ICIS2022,"BARRY STW, CITY OF",BARRY,39.69,-91.053333,0.2,0.276524201,17009415001,ILG580180,sewer_system
3069,4012,IL04805,ICIS2022,"BECKEMEYER STP, VILLAGE OF",BECKEMEYER,38.603333,-89.455,0.125,0.172827625,17007208001,IL0021270,sewer_system
3070,4013,IL04825,ICIS2022,"BEMENT STP, VILLAGE OF",BEMENT,39.925,-88.558333,0.176,0.243341296,17007412001,IL0032549,sewer_system
3071,4014,GA03725,ICIS2022,PAULDING COUNTY WATER SYSTEM (PUMPKINVINE CREEK WRF),ACWORTH,34.068256,-84.768887,0.604,0.835103086,0,GA0039021,sewer_system
3072,4015,IL04850,ICIS2022,"BLUE MOUND STP, VILLAGE OF",BLUE MOUND,34.706944,-89.108889,0.18,0.24887178,17005110001,IL0041131,sewer_system
3073,4016,IL04855,ICIS2022,"BLUFORD STP, VILLAGE OF",BLUFORD,38.331667,-88.74,0.1,0.1382621,17001806001,IL0046957,sewer_system
3074,4017,IL04860,ICIS2022,BOLINGBROOK STP #1,BOLINGBROOK,41.718056,-88.0725,2.04,2.820546845,17000418001,IL0032689,sewer_system
3075,4018,IL04865,ICIS2022,"BOLINGBROOK STP #3, VILLAGE OF",BOLINGBROOK,41.6543,-88.1619,2.8,3.871338807,17000418003,IL0069744,sewer_system
3076,4019,GA03745,ICIS2022,RABUN COUNTY WATER & SEWER AUTHORITY (RABUN COUNTY WRF),RABUN GAP,34.953303,-83.374614,0.183,0.253019643,0,GA0039152,sewer_system
3077,4020,GA03775,ICIS2022,"TYBEE ISLAND, CITY OF (TYBEE ISLAND WPCP)",TYBEE ISLAND,32.024147,-80.852748,1.15,1.590014153,0,GA0020061,sewer_system
3078,4021,IL04885,ICIS2022,"BREESE STP, CITY OF",BREESE,38.601667,-89.506667,0.629,0.869668611,17007203001,IL0022772,sewer_system
3079,4022,IL04890,ICIS2022,"BRIDGEPORT STP, CITY OF",BRIDGEPORT,38.703333,-87.748333,0.28,0.387133881,17001013001,ILG582001,sewer_system
3080,4023,IL04895,ICIS2022,BROOKPORT STP,BROOKPORT,37.123333,-88.638333,0.155,0.214306255,17007211001,IL0027782,sewer_system
3081,4024,IL04910,ICIS2022,BROWNSTOWN STP,BROWNSTOWN,39.00091,-88.95681,0.1,0.1382621,17001505001,ILG580027,sewer_system
3082,4025,IA07845,ICIS2022,HUXLEY CITY OF STP,HUXLEY,41.89964,-93.56833,0.85,1.175227852,0,IA0083518,sewer_system
3083,4026,IA07990,ICIS2022,WASHBURN AREA-STP BLACK HAWK COUNTY,WASHBURN,42.41774,-92.28055,0.1175,0.162457968,0,IA0074241,sewer_system
3084,4027,IL04660,ICIS2022," NAUVOO STP, CITY OF",NAUVOO,40.541667,-91.398333,0.34,0.470091141,0,IL0023531,sewer_system
3085,4028,IL04950,ICIS2022,CAMP POINT STP,CAMP POINT,40.033333,-91.075,0.202,0.279289443,17001001001,IL0050458,sewer_system
3086,4029,IL04960,ICIS2022,"CARMI STP, CITY OF",CARMI,38.064722,-88.170556,1.4,1.935669403,17000096001,IL0027910,sewer_system
3087,4030,IL04965,ICIS2022,"CARTERVILLE STP, CITY OF",CARTERVILLE,37.7545,-89.0841,0.7,0.967834702,17009914001,IL0025178,sewer_system
3088,4031,IL04970,ICIS2022,"CARTHAGE STP, CITY OF",CARTHAGE,40.406667,-91.118333,0.5,0.691310501,17007604001,IL0021229,sewer_system
3089,4032,IL04975,ICIS2022,"CARY WWTP, VILLAGE OF",CARY,42.202778,-88.240833,2.8,3.871338807,17000658001,IL0020516,sewer_system
3090,4033,IL04995,ICIS2022,"CEDARVILLE - STP, VILLAGE OF",CEDARVILLE,42.37,-89.64,0.1,0.1382621,17007711001,ILG580136,sewer_system
3091,4034,IL04830,ICIS2022,"BETHANY STP, VILLAGE OF",BETHANY,39.64,-88.733333,0.2,0.276524201,0,IL0023051,sewer_system
3092,4035,IL05005,ICIS2022,"CERRO GORDO STP, VILLAGE OF",CERRO GORDO,39.751667,-88.743333,0.2,0.276524201,17000007001,ILG580066,sewer_system
3093,4036,IL05010,ICIS2022,"CHADWICK STP, VILLAGE OF",CHADWICK,42.003333,-89.885,0.2,0.276524201,17005101001,ILG580063,sewer_system
3094,4037,IL04870,ICIS2022,"BOLINGBROOK WRF #2, VILLAGE OF",BOLINGBROOK,41.711111,-88.113889,3,4.147863008,0,IL0032735,sewer_system
3095,4038,IL05020,ICIS2022,"CHENOA STP, CITY OF",CHENOA,40.751667,-88.695,0.263,0.363629324,17000686001,ILG582009,sewer_system
3096,4039,IL05025,ICIS2022,CHESTER STP,CHESTER,37.8875,-89.788333,3,4.147863008,17007516001,IL0072931,sewer_system
3097,4040,IL04880,ICIS2022,"BRADFORD STP, VILLAGE OF",BRADFORD,40.307389,-90.070111,0.6,0.829572602,0,IL0022195,sewer_system
3098,4041,IL05040,ICIS2022,"CHRISTOPHER STP, CITY OF",CHRISTOPHER,37.960556,-89.043333,0.768,1.06185293,17005508001,IL0020851,sewer_system
3099,4042,IL05050,ICIS2022,CISSNA PARK STP,CISSNA PARK,40.561667,-87.888333,0.1,0.1382621,17005710001,IL0042391,sewer_system
3100,4043,IL05060,ICIS2022,"CLAY CITY,  VILLAGE OF",CLAY CITY,38.691667,-88.348333,0.15,0.20739315,17000097001,IL0020974,sewer_system
3101,4044,IL05075,ICIS2022,CLINTON SD STP,CLINTON,40.137222,-88.968056,1.68,2.322803284,17009301001,IL0023612,sewer_system
3102,4045,IL05080,ICIS2022,"COBDEN STP, VILLAGE OF",COBDEN,37.526694,-89.25,0.135,0.186653835,17001813001,IL0028169,sewer_system
3103,4046,IL05085,ICIS2022,"COFFEEN STP, CITY OF",COFFEEN,39.068333,-89.396667,0.1,0.1382621,17005318001,ILG580243,sewer_system
3104,4047,IL05090,ICIS2022,COLONA - GREEN ROCK REGIONAL STP,COLONA,41.47,-90.351944,1,1.382621002,17000366001,IL0059757,sewer_system
3105,4048,IL05100,ICIS2022,"COLUMBIA STP, CITY OF",COLUMBIA,38.445,-90.245,1.47,2.032452874,17003313001,IL0025143,sewer_system
3106,4049,IL05115,ICIS2022,"COULTERVILLE STP, VILLAGE OF",COULTERVILLE,38.183333,-89.581667,0.224,0.309707105,17007517001,ILG580035,sewer_system
3107,4050,IL05125,ICIS2022,"CRAINVILLE STP, VILLAGE OF",CRAINVILLE,37.756667,-89.053333,0.2532,0.350079638,17009915001,ILG582002,sewer_system
3108,4051,IL05130,ICIS2022,"CREAL SPRINGS STP, CITY OF",CREAL SPRINGS,37.623333,-88.835,0.224,0.309707105,17009916001,ILG580125,sewer_system
3109,4052,IL05135,ICIS2022,"CROSSVILLE STP, VILLAGE OF",CROSSVILLE,38.168333,-88.073333,0.25,0.345655251,17003917001,ILG580211,sewer_system
3110,4053,IL05150,ICIS2022,"DAKOTA STP, VILLAGE OF",DAKOTA,42.38,-89.516667,0.1,0.1382621,17007712001,IL0028304,sewer_system
3111,4054,IL05155,ICIS2022,"DALZELL STP, VILLAGE OF",DALZELL,41.353333,-89.17,0.11,0.15208831,17001105001,ILG580130,sewer_system
3112,4055,IL05170,ICIS2022,DCDPW - NORDIC PARK STP,ITASCA,41.963333,-88.025,0.5,0.691310501,17000490005,IL0028398,sewer_system
3113,4056,IL05175,ICIS2022,"DEER CREEK STP, VILLAGE OF",DEER CREEK,40.636667,-89.331667,0.132,0.182505972,17000688001,ILG580097,sewer_system
3114,4057,IL05180,ICIS2022,"DELAVAN STP, CITY OF",DELAVAN,40.356667,-89.538333,0.38,0.525395981,17000322001,ILG582018,sewer_system
3115,4058,IL05185,ICIS2022,"DEPUE STP, VILLAGE OF",DEPUE,41.329167,-89.314722,0.48,0.663658081,17001127001,IL0023523,sewer_system
3116,4059,IL05190,ICIS2022,"DESOTO STP, VILLAGE OF",DE SOTO,37.826667,-89.218333,0.24,0.331829041,17007707001,IL0024937,sewer_system
3117,4060,IL05205,ICIS2022,"DONGOLA STP, VILLAGE OF",DONGOLA,37.353333,-89.178333,0.135,0.186653835,17001814001,ILG580028,sewer_system
3118,4061,IL05215,ICIS2022,DUNFERMLINE - ST. DAVID WWTP,DUNFERMLINE,40.495,-90.056667,0.14,0.19356694,17007507001,IL0042650,sewer_system
3119,4062,IL05225,ICIS2022,DURAND SD STP,DURAND,42.44,-89.316667,0.35,0.483917351,17000349001,ILG582019,sewer_system
3120,4063,IL05255,ICIS2022,"ELIZABETH STP, VILLAGE OF",ELIZABETH,42.32,-90.235,0.2,0.276524201,17005804001,IL0022373,sewer_system
3121,4064,IL05265,ICIS2022,"ELKVILLE STP, VILLAGE OF",ELKVILLE,37.908333,-89.223333,0.17,0.23504557,17007708001,ILG580088,sewer_system
3122,4065,IL05275,ICIS2022,"ELMWOOD STW, CITY OF",ELMWOOD,40.771667,-89.96,0.37,0.511569771,17000317001,ILG582012,sewer_system
3123,4066,IL05280,ICIS2022,"ELWOOD - DEER RUN STP, VILLAGE OF ",ELWOOD,41.426667,-88.184722,0.75,1.036965752,17000145001,IL0074713,sewer_system
