,Unnamed: 0,FACILITY_CODE,SOURCE,STATE,FACILITY,CITY,LATITUDE,LONGITUDE,FLOW_2012_MGD,2012_TOT_ANNUAL_MM3,CWNS_NUM,NPDES_ID,check_sewer_permits
17,17,AK00180,ICIS2022,AK,MOUNTAIN POINT WWTF,KETCHIKAN,55.2944,-131.539,0.148,0.2046279083699999,2000108002,AKG572028,sewer_system
18,18,AK00235,ICIS2022,AK,"WRANGELL, CITY OF WWTP",WRANGELL,56.452436,-132.379463,0.354,0.4894478348849999,2000118001,AK0021466,sewer_system
19,19,AL00005,CWNS2012,AL,AKRON LAGOON,Akron,32.8859,-87.7404,0.06,0.08295726,1000002001,AL0059714,sewer_system
20,20,AL00015,CWNS2012,AL,ALABASTER WWTP,ALABASTER,33.2534,-86.8154,3,4.147863008,1000003001,AL0025828,sewer_system
21,21,AL00025,CWNS2012,AL,ALEXANDER CITY SUGAR CREEK WWTP,ALEXANDER CITY,32.9014,-85.9514,4.7,6.498318712,1000004001,AL0048861,sewer_system
22,22,AL00035,CWNS2012,AL,ALEXANDER CITY COLEY CREEK WWTP,Alexander City,32.9299,-85.882,1.51,2.087757714,1000004002,AL0021156,sewer_system
23,23,AL00045,CWNS2012,AL,ALTOONA LAGOON,Altoona,34.0379,-86.3318,0.017,0.023504557,1000005001,AL0021237,sewer_system
24,24,AL00055,CWNS2012,AL,ANDALUSIA RIVERSIDE WWTP,ANDALUSIA,31.3058,-86.5223,1.48,2.046279084,1000006004,AL0055417,sewer_system
25,25,AL00065,CWNS2012,AL,ANNISTON CHOCCOLOCCO WWTP,ANNISTON,33.6032,-85.8293,8.8,12.16706482,1000007001,AL0022195,sewer_system
26,26,AL00075,CWNS2012,AL,ANNISTON FT. MCCLELLAN WWTP,ANNISTON,33.7274,-85.8067,1.039,1.4365432215974998,1000007002,AL0024520,sewer_system
27,27,AL00085,CWNS2012,AL,ARAB RILEY MAZE CREEK WWTP,Arab,34.3302,-86.5213,0.81,1.119923012,1000009001,AL0020303,sewer_system
28,28,AL00095,CWNS2012,AL,ARAB GILLIAM CREEK WWTP,Arab,34.3302,-86.5213,1.16,1.603840363,1000009002,AL0056626,sewer_system
29,29,AL00105,CWNS2012,AL,ARDMORE WWTP,ARDMORE,34.9856,-86.8529,0.624,0.8627555055599999,1000010001,AL0023329,sewer_system
30,30,AL00115,CWNS2012,AL,ASHFORD WWTP,ASHFORD,31.1734,-85.2447,0.294,0.406490575,1000011001,AL0057878,sewer_system
31,31,AL00125,CWNS2012,AL,ATHENS WWTP,Athens,34.8302,-86.9652,5,6.913105013,1000012001,AL0020206,sewer_system
32,32,AL00135,CWNS2012,AL,ATTALLA LAGOON,Attalla,33.988,-86.0459,0.96,1.3273161623999998,1000013001,AL0057657,sewer_system
33,33,AL00145,CWNS2012,AL,AUBURN H C MORGAN WWTP,Auburn,32.5361,-85.5078,5.22,7.217281633,1000014001,AL0050237,sewer_system
34,34,AL00155,CWNS2012,AL,AUBURN NORTHSIDE WWTP,Auburn,32.6273,-85.5443,3.74,5.171002549,1000014002,AL0050245,sewer_system
35,35,AL00165,CWNS2012,AL,AUTAUGAVILLE WWTP,Autaugaville,32.4327,-86.6509,0.066,0.091252986,1000015001,AL0057720,sewer_system
36,36,AL00175,CWNS2012,AL,HARRY STILL SR. WWTP,BAY MINETTE,30.8856,-87.7641,1.5,2.073931504,1000016001,AL0049867,sewer_system
37,37,AL00185,CWNS2012,AL,Westside WWTP,Bay Minette,30.8995,-87.7994,0.25,0.3456552506249999,1000016002,AL0027448,sewer_system
38,38,AL00195,CWNS2012,AL,BAYOU LA BATRE WWTP,Bayou La Batre,30.4141,-88.2454,0.9,1.244358902,1000017001,AL0022632,sewer_system
39,39,AL00205,CWNS2012,AL,BOAZ SLAB CREEK WWTP,Boaz,34.1858,-86.1847,3.5,4.839173509,1000021001,AL0049603,sewer_system
40,40,AL00215,CWNS2012,AL,BREWTON LAGOON,BREWTON,31.0824,-87.0898,1.23,1.700623833,1000023001,AL0023825,sewer_system
41,41,AL00225,CWNS2012,AL,NORTH BREWTON LAGOON,BREWTON,31.0824,-87.0898,0.147,0.203245287,1000023002,AL0073580,sewer_system
42,42,AL00235,CWNS2012,AL,BURWELL ROAD WWTP,Harvest,34.833,-86.7166,0.05,0.06913105,1000023390,AL0070947,sewer_system
43,43,AL00245,CWNS2012,AL,Calera WWTP Buxahatchee Creek,Calera,33.0945,-86.8594,0.74,1.023139542,1000027001,AL0050938,sewer_system
44,44,AL00255,CWNS2012,AL,Calera Northside WWTP - Camp Branch,CALERA,33.1517,-86.6925,0.375,0.518482876,1000027002,AL0074608,sewer_system
45,45,AL00265,CWNS2012,AL,CAMP HILL LAGOON,Camp Hill,32.7876,-85.6557,0.05,0.06913105,1000028001,AL0024210,sewer_system
46,46,AL00275,CWNS2012,AL,CARBON HILL WWTP,Carbon Hill,33.883,-87.5099,0.5,0.6913105012499999,1000029001,AL0024341,sewer_system
47,47,AL00285,CWNS2012,AL,CARROLLTON HCR LAGOON,CARROLLTON,33.2548,-88.0832,0.33,0.4562649308249999,1000031001,AL0020907,sewer_system
48,48,AL00295,CWNS2012,AL,CEDAR BLUFF WWTP,Cedar Bluff,34.2311,-85.6036,0.2,0.276524201,1000032001,AL0024678,sewer_system
49,49,AL00305,CWNS2012,AL,CENTREVILLE-BRENT WWTP,Brent,32.9268,-87.1529,0.629,0.869668611,1000034001,AL0044857,sewer_system
50,50,AL00315,CWNS2012,AL,CHATOM LAGOON,Chatom,31.4535,-88.2562,0.136,0.188036456,1000035001,AL0060453,sewer_system
51,51,AL00325,CWNS2012,AL,CHICKASAW LAGOON,Mobile,30.7769,-88.0644,0.956,1.321785678,1000036001,AL0020885,sewer_system
52,52,AL00335,CWNS2012,AL,CHILDERSBURG BAILEY BR LAGOON,CHILDERSBURG,33.2728,-86.3719,0.35,0.4839173508749999,1000037001,AL0021466,sewer_system
53,53,AL00345,CWNS2012,AL,CHILDERSBURG PINECREST LAGOON,Childersburg,33.3043,-86.3465,0.042,0.058070082,1000037002,AL0021458,sewer_system
54,54,AL00355,CWNS2012,AL,CITRONELLE WWTP,Citronelle,31.0845,-88.2458,0.302,0.4175515427549999,1000038001,AL0060887,sewer_system
55,55,AL00365,CWNS2012,AL,COLLINSVILLE LAGOON,Collinsville,34.279,-85.8904,0.24,0.3318290405999999,1000039001,AL0024236,sewer_system
56,56,AL00375,CWNS2012,AL,COLUMBIANA WWTP,Columbiana,33.1775,-86.6241,0.376,0.519865497,1000040001,AL0024589,sewer_system
57,57,AL00385,CWNS2012,AL,CORDOVA WWTP,Cordova,33.7517,-87.1681,0.284,0.392664365,1000041001,AL0020427,sewer_system
58,58,AL00395,CWNS2012,AL,CULLMAN WWTP,CULLMAN,34.1622,-86.8136,2.87,3.968122277,1000043001,AL0050423,sewer_system
59,59,AL00405,CWNS2012,AL,DAPHNE WATER RECLAMATION FACILITY,Daphne,30.6527,-87.925,2.5,3.456552506,1000044001,AL0027561,sewer_system
60,60,AL00415,CWNS2012,AL,DECATUR DRY CREEK WWTP,DECATUR,34.6283,-86.9986,17.62,24.36178206,1000045001,AL0048593,sewer_system
61,61,AL00425,CWNS2012,AL,DEMOPOLIS WWTP,Demopolis,32.5228,-87.9,1.85,2.557848855,1000046001,AL0043168,sewer_system
62,62,AL00435,CWNS2012,AL,EAST WALKER COUNTY WWTP,Dora,33.7343,-87.112,0.064,0.088487744,1000048001,AL0055409,sewer_system
63,63,AL00445,CWNS2012,AL,DOTHAN OMMUSSEE CREEK WWTP,Dothan,31.2542,-85.3722,4.12,5.69639853,1000049002,AL0022764,sewer_system
64,64,AL00455,CWNS2012,AL,DOTHAN LITTLE CHOCTAWHATCHEE WWTP,Dothan,31.2533,-85.5043,5.82,8.046854235,1000049005,AL0047465,sewer_system
65,65,AL00465,CWNS2012,AL,DOUBLE SPRINGS WWTP,Double Springs,34.1436,-87.4179,0.1,0.1382621,1000050001,AL0065480,sewer_system
66,66,AL00475,CWNS2012,AL,ECLECTIC LAGOON & SPRAYFIELD,Elclectic,32.636,-86.0346,0.04,0.05530484,1000051001,AL0067903,sewer_system
67,67,AL00485,CWNS2012,AL,ENTERPRISE WWTP#2(COLLEGE),ENTERPRISE,31.3008,-85.8811,0.63,0.871051232,1000054002,AL0020036,sewer_system
68,68,AL00495,CWNS2012,AL,ENTERPRISE WWTP #3 (SE),ENTERPRISE,31.3058,-85.8036,0.45,0.6221794511250001,1000054003,AL0020044,sewer_system
69,69,AL00505,CWNS2012,AL,ENTERPRISE WWTP #4 (NE),ENTERPRISE,31.3397,-85.8111,1.2,1.659145203,1000054004,AL0020061,sewer_system
70,70,AL00515,CWNS2012,AL,EUTAW LAGOON,Eutaw,32.8218,-87.8798,0.167,0.230897707,1000055004,AL0044067,sewer_system
71,71,AL00525,CWNS2012,AL,FAIRHOPE WWTP,"Fairhope, AL",30.53,-87.9043,1.84,2.544022645,1000057001,AL0020842,sewer_system
72,72,AL00535,CWNS2012,AL,FAYETTE WWTP,FAYETTE,33.672,-87.8201,2.5,3.456552506,1000058001,AL0054640,sewer_system
73,73,AL00545,CWNS2012,AL,FLOMATON LAGOON,Flomaton,31.0085,-87.2512,0.15,0.20739315,1000060001,AL0023493,sewer_system
74,74,AL00555,CWNS2012,AL,DOTHAN CYPRESS CREEK WWTP,Dothan,31.1144,-85.4183,1.322,1.827824965,1000061001,AL0072737,sewer_system
75,75,AL00565,CWNS2012,AL,FOLEY WWTP,Foley,30.4014,-87.6617,1.5,2.073931504,1000062001,AL0049042,sewer_system
76,76,AL00575,CWNS2012,AL,FORT DEPOSIT LAGOON,Fort Deposit,31.9746,-86.5925,0.14,0.19356694,1000064001,AL0024155,sewer_system
77,77,AL00585,CWNS2012,AL,FORT PAYNE WWTP,FORT PAYNE,34.4294,-85.7674,1.5,2.073931504,1000065001,AL0023311,sewer_system
78,78,AL00595,CWNS2012,AL,GADSDEN WEST WWTP,Gadsden,33.9932,-86.0472,5.395,7.459240308487499,1000067001,AL0053201,sewer_system
79,79,AL00605,CWNS2012,AL,GADSDEN EAST WWTP,Gadsden,33.9731,-85.9743,2.543,3.516005209,1000067002,AL0022659,sewer_system
80,80,AL00615,CWNS2012,AL,GARDEN CITY WWTP,Garden City,34.0021,-86.7481,0.05,0.06913105,1000068001,AL0061280,sewer_system
81,81,AL00625,CWNS2012,AL,GLENCOE LAGOON,Glencoe,33.9483,-85.9561,0.36,0.497743561,1000070001,AL0021334,sewer_system
82,82,AL00635,CWNS2012,AL,GOODWATER LAGOON,GOODWATER,33.0418,-86.0475,0.1,0.1382621,1000071001,AL0023582,sewer_system
83,83,AL00645,CWNS2012,AL,GRAYSVILLE PRUDES CR. WWTP,Birmingham,33.6416,-86.9522,0.27,0.373307671,1000072001,AL0056120,sewer_system
84,84,AL00655,CWNS2012,AL,GREENSBORO LAGOON,GREENSBORO,32.7231,-87.5971,0.88,1.216706482,1000073001,AL0057193,sewer_system
85,85,AL00665,CWNS2012,AL,GULF SHORES WWTP,Gulf Shores,30.2766,-87.6666,1.5,2.073931504,1000074001,AL0055841,sewer_system
86,86,AL00675,CWNS2012,AL,GURLEY WWTP,Gurley,34.696,-86.3792,0.227,0.313854968,1000075001,AL0070661,sewer_system
87,87,AL00685,CWNS2012,AL,Beatrice WWTP,Moody,31.6833,-87.218,0.004,0.005530484,1000076101,AL0081175,sewer_system
88,88,AL00695,CWNS2012,AL,HARTFORD LAGOON,HARTFORD,31.1221,-85.6885,0.332,0.459030173,1000078001,AL0058947,sewer_system
89,89,AL00705,CWNS2012,AL,HARTSELLE SHOAL CREEK WWTP,Hartselle,34.4083,-86.9417,1.98,2.7375895849500003,1000079001,AL0054674,sewer_system
90,90,AL00715,CWNS2012,AL,HELENA WWTP,Helena,33.2972,-86.8357,1.54,2.129236344,1000080001,AL0023116,sewer_system
91,91,AL00725,CWNS2012,AL,HOOVER RIVERCHASE WWTP,Hoover,33.3689,-86.7926,1.619,2.238463403,1000083001,AL0041653,sewer_system
92,92,AL00735,CWNS2012,AL,HOOVER INVERNESS WWTP,Hoover,33.4123,-86.7257,0.872,1.205645514,1000083002,AL0025852,sewer_system
93,93,AL00745,CWNS2012,AL,HUNTSVILLE SPRING BRANCH WWTP,Huntsville,34.6709,-86.5979,14.2,19.63321824,1000085001,AL0058394,sewer_system
94,94,AL00755,CWNS2012,AL,HUNTSVILLE CHASE (#3) WWTP,Huntsville,34.7858,-86.4838,0.96,1.3273161623999998,1000085002,AL0057428,sewer_system
95,95,AL00765,CWNS2012,AL,HUNTSVILLE ALDRIDGE CREEK WWTP,Huntsville,34.5888,-86.5611,6,8.295726015,1000085003,AL0056855,sewer_system
96,96,AL00775,CWNS2012,AL,HUNTSVILLE WESTERN AREA WWTP,Huntsville,34.5674,-86.7659,8.11,11.213056330274998,1000085005,AL0049531,sewer_system
97,97,AL00785,CWNS2012,AL,HUNTSVILLE BIG COVE WWTP,Huntsville,34.6422,-86.4669,1.1,1.520883103,1000085007,AL0055042,sewer_system
98,98,AL00795,CWNS2012,AL,HURTSBORO HCR LAGOON,0,32.2329,-85.4083,0.05,0.06913105,1000086001,AL0020699,sewer_system
99,99,AL00805,CWNS2012,AL,Irondale WWTP,Moody,33.5544,-86.6214,0.04,0.05530484,1000086101,AL0078395,sewer_system
100,100,AL00815,CWNS2012,AL,Jasper Town Creek WWTP,Jasper,33.8125,-87.2694,3,4.147863008,1000088001,AL0023418,sewer_system
101,101,AL00825,CWNS2012,AL,Jeff Road WWTP,Harvest,34.7864,-86.7124,0.189,0.261315369,1000088200,AL0068608,sewer_system
102,102,AL00835,CWNS2012,AL,JEMISON WWTP,Jemison,32.957,-86.7733,0.05,0.06913105,1000089001,AL0059331,sewer_system
103,103,AL00845,CWNS2012,AL,Killen WWTP,Killen,34.855,-87.5575,0,0,1000091001,0,no_permit
104,104,AL00855,CWNS2012,AL,LA FAYETTE MILL CREEK WWTP,Lafayette,32.9061,-85.4356,0.26,0.359481461,1000093001,AL0062839,sewer_system
105,105,AL00865,CWNS2012,AL,LANETT WWTP,Lanett,32.8592,-85.1839,1.92,2.654632325,1000094001,AL0023159,sewer_system
106,106,AL00875,CWNS2012,AL,LINEVILLE LAGOON,Lineville,33.2918,-85.75,0.15,0.20739315,1000098001,AL0050644,sewer_system
107,107,AL00885,CWNS2012,AL,LOXLEY LAGOON,LOXLEY,30.6123,-87.7608,0.235,0.324915936,1000101001,AL0060283,sewer_system
108,108,AL00895,CWNS2012,AL,MADISON WWTP,MADISON,34.5528,-86.7589,6,8.295726015,1000102001,AL0071897,sewer_system
109,109,AL00905,CWNS2012,AL,MARGARET WWTP,Moody,33.66,-86.4934,0.017,0.023504557,1000103001,AL0078204,sewer_system
110,110,AL00915,CWNS2012,AL,MARION WWTP,Marion,32.6237,-87.2963,0.578,0.7991549394449999,1000104004,AL0023809,sewer_system
111,111,AL00925,CWNS2012,AL,MONTEVALLO WWTP,Montevallo,33.0983,-86.8671,0.65,0.898703652,1000109001,AL0023299,sewer_system
112,112,AL00935,CWNS2012,AL,MONTGOMERY CATOMA CREEK WWTP,MONTGOMERY,32.3653,-86.4428,14.6,20.18626664,1000110001,AL0027863,sewer_system
113,113,AL00945,CWNS2012,AL,MONTGOMERY ENCONCHATE WWTP,MONTGOMERY,32.423,-86.3033,10.591,14.64333904,1000110002,AL0022225,sewer_system
114,114,AL00955,CWNS2012,AL,MONTGOMERY TOWASSA WWTP,MONTGOMERY,32.3949,-86.3644,1.5,2.073931504,1000110003,AL0022241,sewer_system
115,115,AL00965,CWNS2012,AL,MOODY KELLY CREEK WWTP,MOODY,33.5893,-86.4916,0.26,0.359481461,1000111002,AL0061581,sewer_system
116,116,AL00975,CWNS2012,AL,MOULTON WWTP,Moulton,34.4887,-87.299,1.01,1.3964472125249998,1000114001,AL0020672,sewer_system
117,117,AL00985,CWNS2012,AL,MOUNDVILLE LAGOON,Moundville,33.0007,-87.6422,0.149,0.206010529,1000115001,AL0058122,sewer_system
118,118,AL00995,CWNS2012,AL,NEW HOPE HCR LAGOON,NEW HOPE,34.5301,-86.3886,0.4,0.553048401,1000121001,AL0023761,sewer_system
119,119,AL01005,CWNS2012,AL,NORTHPORT WWTP,Northport,33.2144,-87.5883,2.5,3.456552506,1000123001,AL0064394,sewer_system
120,120,AL01015,CWNS2012,AL,OAKMAN LAGOON (HCR),Oakman,33.7105,-87.3879,0.066,0.091252986,1000124001,AL0025348,sewer_system
121,121,AL01025,CWNS2012,AL,ODENVILLE WWTP,Odenville,33.6796,-86.3974,0.3,0.414786301,1000125001,AL0070084,sewer_system
122,122,AL01035,CWNS2012,AL,OPELIKA EASTSIDE WWTP,Opelika,32.6444,-85.3188,1,1.382621003,1000127002,AL0059218,sewer_system
123,123,AL01045,CWNS2012,AL,OPELIKA WESTSIDE WWTP,OPELIKA,32.6605,-85.4527,4,5.53048401,1000127005,AL0050130,sewer_system
124,124,AL01055,CWNS2012,AL,OPP WESTSIDE WWTP,OPP,31.2846,-86.2848,0.837,1.157253779,1000128002,AL0054313,sewer_system
125,125,AL01065,CWNS2012,AL,OPP EASTSIDE WWTP,Opp,31.2691,-86.2198,0.199,0.275141579,1000128003,AL0021407,sewer_system
126,126,AL01075,CWNS2012,AL,OWENS CROSSROADS WWTP,Owens Cross Roads,34.5876,-86.4638,0.2,0.276524201,1000129001,AL0053228,sewer_system
127,127,AL01085,CWNS2012,AL,OXFORD TULL C ALLEN WWTP,Oxford,33.5851,-85.9007,2.9,4.009600907249999,1000130001,AL0058408,sewer_system
128,128,AL01095,CWNS2012,AL,OZARK NORTHEAST LAGOON,Ozark,31.4571,-85.5847,0.26,0.359481461,1000131002,AL0058688,sewer_system
129,129,AL01105,CWNS2012,AL,OZARK SOUTHSIDE WWTP,OZARK,31.3888,-85.6097,1.01,1.3964472125249998,1000131005,AL0056324,sewer_system
130,130,AL01115,CWNS2012,AL,PARRISH HCR LAGOON,Parrish,33.7194,-87.299,0.1,0.1382621,1000132001,AL0061158,sewer_system
131,131,AL01125,CWNS2012,AL,PHIL CAMPBELL WWTP,Phil Campbell,34.3371,-87.7074,0.225,0.311089726,1000135001,AL0056812,sewer_system
132,132,AL01135,CWNS2012,AL,PRATTVILLE AUTAUGA CREEK WWTP,Prattville,32.4232,-86.4613,2.8,3.871338807,1000139001,AL0026654,sewer_system
133,133,AL01145,CWNS2012,AL,PRATTVILLE PINE CREEK WWTP,Prattville,32.4295,-86.4054,2.8,3.871338807,1000139003,AL0027723,sewer_system
134,134,AL01155,CWNS2012,AL,PRICHARD CARLO A MORRIS WWTP,Prichard,30.7214,-88.0594,2.43,3.359769036,1000140001,AL0023205,sewer_system
135,135,AL01165,CWNS2012,AL,PRICHARD STANLEY BROOKS WWTP,Prichard,30.7864,-88.0983,1.1,1.520883103,1000140002,AL0055204,sewer_system
136,136,AL01175,CWNS2012,AL,RAINBOW CITY LAGOON,Rainbow City,33.9819,-86.9667,1.2,1.659145203,1000141001,AL0056839,sewer_system
137,137,AL01185,CWNS2012,AL,REFORM WWTP,Reform,33.3743,-88.0065,0.217,0.3000287575424999,1000143001,AL0020915,sewer_system
138,138,AL01195,CWNS2012,AL,ROANOKE HCR LAGOON,ROANOKE,33.1594,-85.4017,1.07,1.479404473,1000145002,AL0062715,sewer_system
139,139,AL01205,CWNS2012,AL,ROANOKE FINCHER LAGOON,ROANOKE,33.1594,-85.4017,0.288,0.3981948487199999,1000145003,AL0062715,sewer_system
140,140,AL01215,CWNS2012,AL,ROBERTSDALE WWTP,Robertsdale,30.5533,-87.678,0.78,1.0784443819499998,1000146001,AL0042838,sewer_system
141,141,AL01225,CWNS2012,AL,ROCKFORD WWTP,Rockford,32.8875,-86.2251,0.01,0.01382621,1000147001,AL0062278,sewer_system
142,142,AL01235,CWNS2012,AL,SAMSON LAGOON,Samson,31.1377,-86.0985,0.033,0.045626493,1000149001,AL0068896,sewer_system
143,143,AL01245,CWNS2012,AL,SARALAND WWTP,SARALAND,30.8138,-88.0681,1.74,2.405760544,1000150001,AL0055786,sewer_system
144,144,AL01255,CWNS2012,AL,SATSUMA WWTP,Satsuma,30.8388,-88.0329,0.45,0.6221794511250001,1000152001,AL0063002,sewer_system
145,145,AL01265,CWNS2012,AL,SELMA VALLEY CREEK WWTP,SELMA,32.4039,-87.04,3.57,4.935956979,1000153001,AL0022578,sewer_system
146,146,AL01275,CWNS2012,AL,SHEFFIELD WWTP,Sheffield,34.7583,-87.7176,1.08,1.493230683,1000154001,AL0050121,sewer_system
147,147,AL01285,CWNS2012,AL,SOUTHSIDE LAGOON,Southside,33.9422,-86.025,0.082,0.113374922,1000158001,AL0055867,sewer_system
148,148,AL01295,CWNS2012,AL,SPRINGVILLE LAGOON,Springville,33.7611,-86.4583,0.288,0.3981948487199999,1000160001,AL0050903,sewer_system
149,149,AL01305,CWNS2012,AL,STEELE LAGOON,Steele,33.923056,-86.166111,0.06,0.08295726,1000161001,AL0072729,sewer_system
150,150,AL01315,CWNS2012,AL,STEVENSON WWTP,Stevenson,34.8604,-85.8333,0.25,0.3456552506249999,1000162001,AL0021351,sewer_system
151,151,AL01325,CWNS2012,AL,SYLACAUGA FAIRMONT WWTP,SYLACAUGA,33.1708,-86.2699,0.05,0.06913105,1000165003,AL0020010,sewer_system
152,152,AL01335,CWNS2012,AL,TALLADEGA BRECON WWTP,Talladega,33.4725,-86.0617,0.42,0.580700821,1000168001,AL0022349,sewer_system
153,153,AL01345,CWNS2012,AL,TALLADEGA MAIN WWTP,Talladega,33.4101,-86.1267,3.25,4.493518258,1000168003,AL0022357,sewer_system
154,154,AL01355,CWNS2012,AL,TALLADEGA NIKI-LU WWTP,Talladega,33.4102,-86.1268,0.1,0.1382621,1000168004,AL0059579,sewer_system
155,155,AL01365,CWNS2012,AL,TALLADEGA AIRPORT IND. WWTP,Talladega,33.5708,-86.0625,0.14,0.19356694,1000168005,AL0054658,sewer_system
156,156,AL01375,CWNS2012,AL,TALLASSEE LAGOON,Tallassee,32.5156,-85.8933,0.7,0.967834702,1000169001,AL0020486,sewer_system
157,157,AL01385,CWNS2012,AL,TROY WALNUT CREEK WWTP,Troy,31.7692,-85.9261,3.39,4.687085198,1000174001,AL0032310,sewer_system
158,158,AL01395,CWNS2012,AL,TUSCALOOSA WWTP,Tuscaloosa,33.172,-87.5637,16.7,23.08977074,1000176001,AL0022713,sewer_system
159,159,AL01405,CWNS2012,AL,TUSCUMBIA WWTP,TUSCUMBIA,34.7317,-87.7136,1.44,1.990974244,1000177001,AL0057100,sewer_system
160,160,AL01415,CWNS2012,AL,TUSKEGEE SOUTH WWTP,TUSKEGEE,32.35,-85.7528,0.88,1.216706482,1000178006,AL0025984,sewer_system
161,161,AL01425,CWNS2012,AL,TUSKEGEE NORTH WWTP,TUSKEGEE,32.3622,-85.7508,1.29,1.783581093,1000178007,AL0048763,sewer_system
162,162,AL01435,CWNS2012,AL,WEDOWEE LAGOON,WEDOWEE,33.3151,-85.4821,0.121,0.167297141,1000186001,AL0024171,sewer_system
163,163,AL01445,CWNS2012,AL,WETUMPKA WWTP,Wetumpka,32.5167,-86.2627,1.6,2.212193604,1000188003,AL0064025,sewer_system
164,164,AL01455,CWNS2012,AL,WILSONVILLE WWTP,Wilsonville,33.2354,-86.4802,0.022,0.030417662,1000190001,AL0021491,sewer_system
165,165,AL01465,CWNS2012,AL,WINFIELD WWTP,Winfield,33.9205,-87.8224,0.273,0.377455534,1000192001,AL0023400,sewer_system
166,166,AL01475,CWNS2012,AL,PHENIX CITY WWTP,Phenix City,32.4323,-84.9711,2.87,3.968122277,1000196001,AL0022209,sewer_system
167,167,AL01485,CWNS2012,AL,JEFFERSON COUNTY TURKEY CREEK WWTP,BIRMINGHAM,33.7142,-86.6989,3.37,4.659432778,1000197007,AL0022926,sewer_system
168,168,AL01495,CWNS2012,AL,TRUSSVILLE WWTP,BIRMINGHAM,33.6198,-86.6036,2.1,2.903504105,1000197011,AL0022934,sewer_system
169,169,AL01505,CWNS2012,AL,JEFFERSON COUNTY WARRIOR WWTP,Birmingham,33.8081,-86.8319,0.07,0.09678347,1000197023,AL0050881,sewer_system
170,170,AL01515,CWNS2012,AL,PELHAM WWTP,Pelham,33.2874,-86.791,2.2,3.041766206,1000198001,AL0054666,sewer_system
171,171,AL01525,CWNS2012,AL,LOWER VALLEY WWTP,VALLEY,32.7969,-85.1572,0.89,1.230532692,1000201001,AL0024724,sewer_system
172,172,AL01535,CWNS2012,AL,DAUPHIN ISLAND WWTP,Dauphin Island,30.2634,-88.1159,0.447,0.618031588,1000203001,AL0050547,sewer_system
173,173,AL01545,CWNS2012,AL,ALBERTVILLE EASTSIDE WWTP,ALBERTVILLE,34.2685,-86.2105,6.04,8.351030855,1000205001,AL0020192,sewer_system
